Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-09-21,Roma,4,3,18.0,12.0,7.0,17.0,2,0,Parma,1,1,8.0,2.0,6.0,14.0,3,0,D. Tombolini,H,H,4.0,4.0,10.0,12.0,2
2005-09-21,Palermo,1,0,16.0,10.0,10.0,17.0,2,0,Reggina,0,0,8.0,3.0,5.0,19.0,4,0,P. Rodomonti,H,D,7.0,0.0,6.0,18.0,2
2005-09-21,Milan,2,2,12.0,7.0,5.0,17.0,0,0,Lazio,0,0,8.0,3.0,2.0,14.0,1,0,D. Messina,H,H,4.0,7.0,11.0,6.0,2
2005-09-21,Lecce,1,1,10.0,4.0,2.0,18.0,3,1,Fiorentina,3,0,14.0,9.0,6.0,16.0,1,0,M. De Santis,A,H,1.0,7.0,17.0,5.0,0
2005-09-21,Empoli,3,0,8.0,4.0,8.0,22.0,3,0,Cagliari,1,1,9.0,5.0,5.0,16.0,2,0,N. Rizzoli,H,A,0.0,2.0,18.0,14.0,2
2005-09-21,Chievo,0,0,6.0,2.0,1.0,22.0,2,0,Inter,1,0,17.0,10.0,7.0,18.0,2,0,E. Morganti,A,D,6.0,6.0,10.0,9.0,0
2005-09-21,Ascoli,1,0,7.0,2.0,3.0,28.0,1,0,Siena,1,1,8.0,4.0,3.0,19.0,2,0,N. Stefanini,D,A,2.0,3.0,16.0,13.0,1
2005-09-21,Messina,0,0,10.0,7.0,7.0,16.0,1,0,Livorno,0,0,5.0,3.0,1.0,13.0,0,0,R. Rosetti,D,D,2.0,7.0,16.0,8.0,1
2005-09-24,Parma,1,1,5.0,3.0,2.0,27.0,3,0,Juventus,2,1,8.0,6.0,5.0,27.0,3,0,T. Pieri,A,D,4.0,12.0,13.0,1.0,0
2005-09-24,Reggina,2,1,6.0,4.0,4.0,20.0,4,0,Udinese,0,0,7.0,3.0,7.0,26.0,3,1,M. Gabriele,H,H,0.0,6.0,19.0,11.0,2
2005-09-25,Siena,4,3,12.0,5.0,6.0,17.0,1,0,Messina,2,1,6.0,3.0,2.0,16.0,2,0,A. De Marco,H,H,4.0,3.0,12.0,15.0,2
2005-09-25,Treviso,0,0,6.0,2.0,4.0,22.0,3,0,Milan,2,1,12.0,6.0,2.0,13.0,0,0,L. Palanca,A,A,0.0,7.0,20.0,8.0,0
2005-09-25,Livorno,2,0,9.0,2.0,4.0,10.0,0,0,Ascoli,0,0,5.0,2.0,3.0,15.0,2,1,C. Brighi,H,D,8.0,3.0,7.0,14.0,2
2005-09-25,Sampdoria,1,0,8.0,5.0,6.0,18.0,2,0,Chievo,2,1,10.0,6.0,7.0,26.0,4,0,S. Cassara',A,A,9.0,6.0,7.0,11.0,0
2005-09-25,Inter,1,1,17.0,7.0,6.0,26.0,2,0,Fiorentina,0,0,4.0,2.0,3.0,20.0,3,0,S. Farina,H,H,9.0,10.0,6.0,3.0,2
2005-09-25,Cagliari,0,0,8.0,3.0,2.0,12.0,2,0,Roma,0,0,12.0,5.0,3.0,17.0,2,0,A. Dattilo,D,D,2.0,7.0,18.0,9.0,1
2005-09-25,Lazio,4,0,8.0,5.0,8.0,23.0,2,0,Palermo,2,1,10.0,4.0,7.0,21.0,3,0,M. Saccani,H,A,7.0,10.0,10.0,6.0,2
2005-09-25,Empoli,1,0,5.0,2.0,3.0,21.0,1,0,Lecce,0,0,12.0,2.0,5.0,24.0,4,0,O. Pantana,H,D,3.0,1.0,17.0,19.0,2
2005-10-01,Chievo,0,0,11.0,0.0,6.0,24.0,3,0,Treviso,0,0,7.0,3.0,4.0,22.0,2,0,M. Mazzoleni,D,D,9.0,0.0,9.0,20.0,1
2005-10-01,Udinese,3,0,19.0,10.0,10.0,18.0,2,0,Lazio,0,0,6.0,1.0,1.0,25.0,3,0,R. Rosetti,H,D,6.0,10.0,13.0,6.0,2
2005-10-02,Roma,2,0,15.0,9.0,14.0,19.0,2,0,Siena,3,1,5.0,4.0,5.0,17.0,3,1,E. Morganti,A,A,8.0,7.0,11.0,12.0,0
2005-10-02,Milan,2,2,17.0,7.0,7.0,13.0,1,0,Reggina,1,0,8.0,1.0,1.0,10.0,0,0,N. Rizzoli,H,H,10.0,3.0,4.0,18.0,2
2005-10-02,Messina,1,0,18.0,10.0,5.0,15.0,4,0,Sampdoria,4,1,12.0,7.0,0.0,18.0,3,0,M. De Santis,A,A,3.0,9.0,15.0,10.0,0
2005-10-02,Palermo,2,1,21.0,10.0,11.0,13.0,0,0,Empoli,2,2,5.0,4.0,0.0,11.0,2,0,L. Banti,D,A,10.0,6.0,9.0,13.0,1
