Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2024-08-16,Brescia,1,0,18,6,9,15,1,0,Palermo,0,0,10,1,6,10,1,0,H,D,2.88,3.13,2.51,2.25,1.77,2.11,1.71,2.06,1.8,0.0,0.0,2.0,13.0,2
2024-08-17,Bari,1,0,16,4,6,20,2,0,Juve Stabia,3,2,13,6,4,14,6,0,A,A,1.88,3.29,4.39,2.45,1.61,2.35,1.57,1.88,1.93,0.0,0.0,2.0,10.0,0
2024-08-17,Pisa,2,1,19,4,7,10,4,0,Spezia,2,2,6,3,2,22,2,0,D,A,2.56,3.05,2.88,2.51,1.61,2.37,1.56,1.79,2.07,0.0,0.0,12.0,17.0,1
2024-08-17,Salernitana,2,0,15,7,10,23,4,0,Cittadella,1,1,8,3,1,12,5,0,H,A,1.99,3.32,3.83,2.32,1.65,2.24,1.62,1.98,1.84,0.0,0.0,15.0,8.0,2
2024-08-17,Sudtirol,2,1,9,3,4,10,1,0,Modena,1,1,6,2,2,15,3,0,H,D,2.79,3.0,2.67,2.56,1.57,2.43,1.54,1.95,1.89,0.0,0.0,17.0,13.0,2
2024-08-18,Catanzaro,1,0,9,4,3,11,3,0,Sassuolo,1,1,12,6,7,7,4,0,D,A,3.46,3.23,2.14,2.14,1.83,2.02,1.76,1.98,1.83,0.0,0.0,8.0,16.0,1
2024-08-18,Cesena,2,2,14,8,1,13,3,0,Carrarese,1,0,10,4,2,14,1,0,H,H,1.98,3.22,4.0,2.38,1.62,2.27,1.6,1.95,1.86,0.0,0.0,10.0,9.0,2
2024-08-18,Cosenza,1,1,15,6,4,11,3,0,Cremonese,0,0,7,1,8,16,2,0,H,H,3.25,3.17,2.25,2.36,1.64,2.25,1.62,1.88,1.92,0.0,0.0,10.0,11.0,2
2024-08-18,Frosinone,2,1,20,12,4,10,2,0,Sampdoria,2,0,17,4,4,13,2,1,D,H,2.61,3.16,2.73,2.2,1.74,2.11,1.7,1.9,1.95,0.0,0.0,11.0,14.0,1
2024-08-18,Reggiana,2,0,12,6,3,10,5,0,Mantova,2,0,13,4,1,25,1,0,D,D,2.56,3.13,2.82,2.31,1.66,2.24,1.62,1.83,2.01,0.0,0.0,14.0,13.0,1
2024-08-23,Modena,2,1,16,5,4,20,4,0,Bari,1,1,14,4,5,13,4,0,H,D,2.25,3.02,3.44,2.63,1.55,2.5,1.51,1.91,1.93,0.0,0.0,17.0,20.0,2
