Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2008-08-09,Auxerre,2,1,10,5,5,19,2,0,Nantes,1,0,15,4,8,18,0,0,H,H,0.0,0.0,1.0,13.0,2
2008-08-09,Bordeaux,2,0,24,11,15,10,3,0,Caen,1,1,8,1,1,22,4,0,H,A,0.0,0.0,2.0,3.0,2
2008-08-09,Le Havre,1,0,14,4,4,24,1,0,Nice,0,0,15,3,8,21,2,0,H,D,0.0,0.0,4.0,12.0,2
2008-08-09,Le Mans,0,0,10,2,6,22,2,0,Lorient,1,0,12,1,3,16,2,0,A,D,0.0,0.0,5.0,7.0,0
2008-08-09,Monaco,1,0,10,4,9,10,1,0,Paris SG,0,0,7,3,6,15,2,0,H,D,0.0,0.0,9.0,11.0,2
2008-08-09,Nancy,0,0,8,0,2,16,3,0,Lille,0,0,11,4,6,16,2,1,D,D,0.0,0.0,10.0,7.0,1
2008-08-09,Rennes,4,1,14,10,3,20,2,0,Marseille,4,3,19,10,5,11,1,0,D,A,0.0,0.0,11.0,10.0,1
2008-08-09,Sochaux,1,0,18,4,12,16,3,0,Grenoble,2,0,7,2,3,13,2,0,A,D,0.0,0.0,12.0,10.0,0
2008-08-09,Valenciennes,1,1,11,4,2,19,3,0,St Etienne,0,0,26,7,10,14,1,0,H,H,0.0,0.0,14.0,12.0,2
2008-08-10,Lyon,3,1,10,5,4,9,1,0,Toulouse,0,0,8,2,3,13,1,0,H,H,0.0,0.0,12.0,13.0,2
2008-08-16,Toulouse,2,0,16,8,7,16,3,0,Le Havre,1,1,10,1,2,19,2,0,H,A,0.0,3.0,20.0,5.0,2
2008-08-16,St Etienne,2,2,18,5,5,20,2,0,Sochaux,1,0,18,5,4,14,3,0,H,H,0.0,0.0,20.0,16.0,2
2008-08-16,Paris SG,1,0,6,2,5,20,3,0,Bordeaux,0,0,16,6,4,12,2,0,H,D,0.0,3.0,19.0,3.0,2
2008-08-16,Lille,1,0,11,1,4,19,3,0,Le Mans,3,2,6,4,3,21,3,0,A,A,1.0,0.0,14.0,18.0,0
