Date,HomeTeam,FTHG,HTHG,HS,HST,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-08-27,Strasbourg,0,0,8.0,1.0,2,0,Bordeaux,0,0,12.0,3.0,3,0,D,D,2.0,9.0,17.0,4.0,1
2005-08-27,Nantes,0,0,10.0,4.0,2,0,Metz,0,0,5.0,2.0,3,0,D,D,7.0,2.0,5.0,18.0,1
2005-08-27,Paris SG,1,1,6.0,3.0,2,1,Nice,2,0,5.0,2.0,4,0,A,H,10.0,5.0,1.0,13.0,0
2005-08-27,Nancy,6,4,18.0,8.0,0,0,Rennes,0,0,9.0,3.0,4,0,H,H,0.0,3.0,20.0,18.0,2
2005-08-27,Marseille,1,0,15.0,6.0,2,0,Ajaccio,1,0,8.0,6.0,1,0,D,D,1.0,6.0,20.0,9.0,1
2005-08-27,Le Mans,1,1,15.0,7.0,1,0,Troyes,0,0,8.0,2.0,1,0,H,H,5.0,6.0,13.0,10.0,2
2005-08-28,Auxerre,0,0,9.0,2.0,2,0,Lyon,2,2,9.0,5.0,3,0,A,A,7.0,10.0,10.0,2.0,0
2005-08-28,Monaco,0,0,11.0,3.0,0,0,Lens,0,0,3.0,1.0,0,0,D,D,6.0,9.0,13.0,4.0,1
2005-09-10,Troyes,1,0,4.0,1.0,3,0,Nantes,0,0,10.0,4.0,1,0,H,D,6.0,8.0,13.0,6.0,2
2005-09-10,Rennes,3,0,10.0,7.0,0,0,Auxerre,1,0,8.0,2.0,4,0,H,D,3.0,7.0,19.0,12.0,2
2005-09-10,Paris SG,1,1,13.0,8.0,3,0,Strasbourg,0,0,4.0,2.0,3,1,H,H,10.0,3.0,3.0,18.0,2
2005-09-10,Toulouse,0,0,16.0,8.0,2,0,Le Mans,2,1,7.0,5.0,3,1,A,A,5.0,8.0,16.0,6.0,0
2005-09-10,Metz,0,0,11.0,4.0,0,1,Lille,2,0,18.0,7.0,2,0,A,D,3.0,6.0,19.0,13.0,0
