Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2020-08-21,Bordeaux,0,0,5,1,2,10,2,1,Nantes,0,0,6,1,3,15,3,0,D,D,2.47,2.95,3.25,3.1,1.46,2.85,1.42,2.08,1.79,0.0,0.0,2.0,13.0,1
2020-08-22,Dijon,0,0,9,1,3,15,0,0,Angers,1,1,12,4,9,8,0,0,A,A,2.73,3.07,2.77,2.57,1.63,2.4,1.57,1.91,1.95,0.0,0.0,5.0,3.0,0
2020-08-22,Lille,1,1,5,1,4,12,0,1,Rennes,1,0,16,3,2,16,1,1,D,H,2.27,3.18,3.36,2.43,1.69,2.29,1.62,1.95,1.91,0.0,0.0,6.0,17.0,1
2020-08-23,Monaco,2,1,22,5,8,8,1,0,Reims,2,2,9,3,1,14,3,0,D,A,1.92,3.45,4.16,2.38,1.72,2.25,1.65,1.91,1.94,0.0,0.0,12.0,17.0,1
2020-08-23,Lorient,3,0,10,7,6,17,3,0,Strasbourg,1,1,7,1,1,10,2,0,H,A,2.56,3.13,2.91,2.43,1.69,2.32,1.61,1.82,2.05,0.0,0.0,10.0,19.0,2
2020-08-23,Nimes,4,2,12,5,4,14,2,0,Brest,0,0,10,3,4,17,3,1,H,H,2.24,3.32,3.27,2.17,1.85,2.07,1.76,1.93,1.92,0.0,0.0,16.0,9.0,2
2020-08-23,Nice,2,1,4,2,1,17,2,0,Lens,1,1,17,4,7,18,3,0,H,D,2.02,3.34,3.88,2.22,1.81,2.11,1.73,2.03,1.82,0.0,0.0,15.0,10.0,2
2020-08-28,Lyon,4,3,27,12,13,12,3,0,Dijon,1,1,6,2,2,7,3,0,H,H,1.3,5.41,10.01,1.74,2.39,1.66,2.24,1.92,1.93,0.0,0.0,11.0,18.0,2
2020-08-29,Rennes,2,1,16,7,2,18,3,1,Montpellier,1,0,11,3,1,16,2,1,H,H,2.04,3.28,3.9,2.43,1.7,2.31,1.62,2.03,1.82,1.0,0.0,9.0,14.0,2
2020-08-29,Strasbourg,0,0,6,0,3,14,2,0,Nice,2,1,3,2,1,11,6,0,A,A,2.23,3.31,3.31,2.19,1.85,2.06,1.77,1.92,1.94,0.0,3.0,18.0,5.0,0
2020-08-30,Brest,2,1,19,4,10,17,2,0,Marseille,3,2,7,4,2,13,4,0,A,A,3.36,3.64,2.09,1.89,2.11,1.79,2.01,2.01,1.82,0.0,0.0,20.0,12.0,0
2020-08-30,St Etienne,2,1,13,5,2,14,2,0,Lorient,0,0,6,1,5,23,1,0,H,H,2.27,3.23,3.29,2.37,1.73,2.25,1.64,1.94,1.91,0.0,3.0,15.0,5.0,2
2020-08-30,Nantes,2,2,8,5,4,16,3,2,Nimes,1,0,17,9,8,9,2,0,H,H,1.96,3.25,4.28,2.46,1.68,2.32,1.61,1.96,1.88,1.0,3.0,13.0,3.0,2
2020-08-30,Angers,0,0,12,2,5,12,1,0,Bordeaux,2,2,7,7,7,19,3,0,A,A,2.28,3.1,3.44,2.71,1.6,2.55,1.51,1.94,1.92,3.0,1.0,8.0,13.0,0
2020-08-30,Reims,0,0,4,0,1,20,4,0,Lille,1,1,10,3,2,11,1,0,A,A,3.03,3.0,2.56,2.68,1.59,2.52,1.52,2.11,1.77,1.0,1.0,12.0,13.0,0
2020-08-30,Metz,0,0,14,4,10,14,0,0,Monaco,1,1,3,2,1,20,5,1,A,A,3.74,3.48,2.01,2.08,1.94,1.98,1.83,1.84,2.01,0.0,1.0,14.0,12.0,0
2020-09-10,Lens,1,0,7,3,4,21,2,0,Paris SG,0,0,8,1,2,10,2,0,H,D,4.9,3.96,1.68,1.97,2.02,1.88,1.93,1.97,1.87,0.0,0.0,15.0,14.0,2
