Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2016-03-13,New York City,Toronto FC,2,2,D,NA,NA,NA,NA,2.54,3.56,2.54,9.0,7.0,3.0,5.0,1
2016-03-13,Columbus Crew,Philadelphia Union,1,2,A,NA,NA,NA,NA,1.44,4.46,6.76,4.0,3.0,16.0,19.0,0
2016-03-13,Houston Dynamo,FC Dallas,5,0,H,NA,NA,NA,NA,3.09,3.27,2.3,5.0,5.0,15.0,11.0,2
2016-03-13,San Jose Earthquakes,Portland Timbers,2,1,H,NA,NA,NA,NA,2.46,3.26,2.82,5.0,6.0,12.0,9.0,2
2016-03-18,New York City,Orlando City,0,1,A,NA,NA,NA,NA,1.85,3.8,3.82,10.0,4.0,2.0,16.0,0
2016-03-19,Chicago Fire,Columbus Crew,0,0,D,NA,NA,NA,NA,2.82,3.41,2.39,7.0,4.0,10.0,17.0,1
2016-03-19,New York Red Bulls,Houston Dynamo,4,3,H,NA,NA,NA,NA,1.56,4.03,5.76,4.0,8.0,18.0,5.0,2
2016-03-20,Sporting Kansas City,Toronto FC,1,0,H,NA,NA,NA,NA,2.04,3.48,3.46,5.0,8.0,17.0,6.0,2
2016-03-20,DC United,Colorado Rapids,1,1,D,NA,NA,NA,NA,2.26,3.22,3.18,5.0,9.0,17.0,4.0,1
2016-03-20,Philadelphia Union,New England Revolution,3,0,H,NA,NA,NA,NA,2.48,3.34,2.74,6.0,7.0,15.0,11.0,2
2016-03-20,Portland Timbers,Real Salt Lake,2,2,D,NA,NA,NA,NA,1.67,3.68,5.19,6.0,13.0,15.0,1.0,1
2016-03-20,Los Angeles Galaxy,San Jose Earthquakes,3,1,H,NA,NA,NA,NA,1.58,4.08,5.35,3.0,8.0,19.0,8.0,2
2016-03-20,Seattle Sounders,Vancouver Whitecaps,1,2,A,NA,NA,NA,NA,2.22,3.23,3.27,10.0,1.0,2.0,20.0,0
2016-03-20,FC Dallas,CF Montreal,2,0,H,NA,NA,NA,NA,1.72,3.74,4.66,5.0,6.0,19.0,15.0,2
2016-03-26,New York City,New England Revolution,1,1,D,NA,NA,NA,NA,2.19,3.47,3.12,10.0,7.0,2.0,15.0,1
2016-03-26,DC United,FC Dallas,0,3,A,NA,NA,NA,NA,3.0,3.36,2.29,6.0,8.0,17.0,11.0,0
