Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2015-01-06,New England Revolution,Los Angeles Galaxy,2,2,D,NA,NA,NA,NA,2.1,3.3,3.44,0.0,0.0,9.0,8.0,1
2015-01-08,New York City,CF Montreal,2,3,A,NA,NA,NA,NA,1.91,3.59,3.76,0.0,0.0,10.0,3.0,0
2015-01-11,Portland Timbers,Vancouver Whitecaps,0,0,D,NA,NA,NA,NA,2.08,3.26,3.55,0.0,0.0,13.0,19.0,1
2015-01-11,DC United,New York Red Bulls,0,1,A,NA,NA,NA,NA,3.36,3.5,2.06,0.0,0.0,9.0,12.0,0
2015-02-05,Real Salt Lake,San Jose Earthquakes,1,1,D,NA,NA,NA,NA,1.83,3.38,4.41,0.0,0.0,14.0,15.0,1
2015-02-05,Houston Dynamo,FC Dallas,1,4,A,NA,NA,NA,NA,2.44,3.2,2.86,0.0,0.0,13.0,12.0,0
2015-02-05,Philadelphia Union,Toronto FC,0,1,A,NA,NA,NA,NA,2.26,3.31,3.06,0.0,0.0,14.0,17.0,0
2015-02-08,San Jose Earthquakes,Portland Timbers,0,0,D,NA,NA,NA,NA,2.45,3.28,2.8,1.0,1.0,8.0,9.0,1
2015-02-08,DC United,Real Salt Lake,6,4,H,NA,NA,NA,NA,1.91,3.44,3.91,0.0,1.0,18.0,9.0,2
2015-02-08,Philadelphia Union,New York Red Bulls,1,3,A,NA,NA,NA,NA,2.65,3.41,2.51,0.0,3.0,19.0,4.0,0
2015-02-08,New England Revolution,Toronto FC,3,1,H,NA,NA,NA,NA,2.0,3.49,3.51,1.0,3.0,9.0,5.0,2
2015-02-08,Sporting Kansas City,Houston Dynamo,1,1,D,NA,NA,NA,NA,1.65,3.68,5.19,0.0,0.0,17.0,19.0,1
2015-02-08,Orlando City,Columbus Crew,5,2,H,NA,NA,NA,NA,2.12,3.4,3.28,0.0,0.0,17.0,16.0,2
2015-02-08,Colorado Rapids,Los Angeles Galaxy,1,3,A,NA,NA,NA,NA,2.41,3.27,2.85,0.0,1.0,16.0,10.0,0
2015-02-08,Seattle Sounders,Vancouver Whitecaps,0,3,A,NA,NA,NA,NA,2.15,3.19,3.43,0.0,1.0,16.0,12.0,0
2015-02-11,CF Montreal,Columbus Crew,2,1,H,NA,NA,NA,NA,2.07,3.52,3.31,3.0,0.0,8.0,18.0,2
2015-02-11,Seattle Sounders,FC Dallas,2,1,H,NA,NA,NA,NA,2.01,3.38,3.61,0.0,3.0,19.0,7.0,2
2015-03-05,Portland Timbers,Vancouver Whitecaps,0,0,D,NA,NA,NA,NA,2.05,3.27,3.63,2.0,4.0,12.0,3.0,1
2015-03-05,Sporting Kansas City,Chicago Fire,1,0,H,NA,NA,NA,NA,1.66,3.74,5.03,1.0,0.0,13.0,16.0,2
2015-03-05,DC United,Columbus Crew,2,0,H,NA,NA,NA,NA,2.85,3.25,2.43,3.0,0.0,9.0,20.0,2
2015-03-05,New England Revolution,New York Red Bulls,2,1,H,NA,NA,NA,NA,2.02,3.33,3.61,4.0,6.0,6.0,2.0,2
2015-03-05,Los Angeles Galaxy,Colorado Rapids,1,1,D,NA,NA,NA,NA,1.48,4.12,6.55,4.0,0.0,6.0,18.0,1
2015-03-08,Chicago Fire,FC Dallas,2,0,H,NA,NA,NA,NA,2.39,3.29,2.89,0.0,3.0,18.0,9.0,2
2015-03-10,DC United,New York City,2,1,H,NA,NA,NA,NA,2.38,3.5,2.76,6.0,0.0,2.0,18.0,2
2015-03-10,Toronto FC,Philadelphia Union,3,1,H,NA,NA,NA,NA,1.52,4.21,5.89,3.0,0.0,12.0,19.0,2
2015-03-13,Houston Dynamo,Orlando City,0,1,A,NA,NA,NA,NA,2.08,3.28,3.53,1.0,3.0,17.0,9.0,0
2015-03-14,Columbus Crew,Toronto FC,2,0,H,NA,NA,NA,NA,2.13,3.4,3.25,0.0,6.0,20.0,6.0,2
2015-03-14,Chicago Fire,Vancouver Whitecaps,0,1,A,NA,NA,NA,NA,2.34,3.19,3.04,3.0,5.0,10.0,7.0,0
2015-03-15,Portland Timbers,Los Angeles Galaxy,2,2,D,NA,NA,NA,NA,3.13,3.34,2.21,3.0,5.0,12.0,8.0,1
