Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2017-09-10,Guimaraes,1,0,7,4,10,0,1,0,Boavista,0,0,5,5,5,0,1,0,H,D,4.0,3.0,12.0,15.0,2
2017-09-10,Setubal,2,2,5,3,2,0,3,0,Sp Braga,0,0,9,4,8,0,3,0,H,H,3.0,6.0,13.0,8.0,2
2017-09-11,Aves,2,1,13,4,4,17,2,0,Belenenses,1,1,7,4,3,18,3,0,H,D,1.0,4.0,17.0,13.0,2
2017-09-15,Pacos Ferreira,1,0,5,3,5,17,4,0,Setubal,0,0,9,4,4,12,3,0,H,D,3.0,6.0,15.0,8.0,2
2017-09-16,Sp Lisbon,2,1,8,4,3,14,2,0,Tondela,0,0,1,0,4,20,3,0,H,H,15.0,5.0,2.0,12.0,2
2017-09-16,Boavista,2,0,6,4,3,15,2,0,Benfica,1,1,13,9,11,19,1,0,H,A,3.0,13.0,16.0,3.0,2
2017-09-16,Maritimo,2,2,7,5,3,18,3,0,Aves,1,0,11,6,7,12,2,0,H,H,12.0,4.0,4.0,15.0,2
2017-09-17,Belenenses,2,0,12,7,6,18,4,0,Estoril,1,0,14,7,4,18,3,1,H,D,4.0,6.0,16.0,12.0,2
2017-09-17,Rio Ave,1,0,5,2,2,10,5,1,Porto,2,0,8,5,4,24,4,0,A,D,10.0,15.0,5.0,2.0,0
2017-09-17,Sp Braga,2,2,8,3,1,24,3,0,Guimaraes,1,1,5,2,1,18,3,0,H,H,6.0,7.0,12.0,8.0,2
2017-09-18,Chaves,3,1,9,4,3,15,0,0,Moreirense,0,0,9,4,2,15,2,0,H,H,1.0,5.0,18.0,15.0,2
2017-09-18,Portimonense,2,2,12,7,7,18,2,0,Feirense,1,1,5,1,4,13,3,0,H,H,3.0,8.0,18.0,7.0,2
2017-09-22,Porto,5,3,16,9,5,13,2,0,Portimonense,2,1,9,6,4,9,2,0,H,H,18.0,6.0,1.0,13.0,2
2017-09-23,Moreirense,1,1,11,6,3,25,3,0,Sp Lisbon,1,0,5,1,8,15,4,0,D,H,5.0,18.0,16.0,2.0,1
2017-09-23,Benfica,2,1,17,9,11,12,3,0,Pacos Ferreira,0,0,3,2,2,11,2,0,H,H,13.0,6.0,4.0,11.0,2
2017-09-23,Estoril,0,0,7,1,10,15,2,0,Chaves,2,1,10,5,6,13,0,0,A,A,6.0,4.0,13.0,17.0,0
2017-09-24,Aves,0,0,10,6,2,17,3,0,Rio Ave,0,0,9,1,3,10,2,0,D,D,4.0,10.0,18.0,5.0,1
2017-09-24,Feirense,1,0,7,3,8,17,1,0,Belenenses,4,3,14,7,1,15,3,0,A,A,8.0,7.0,7.0,9.0,0
2017-09-24,Guimaraes,2,1,12,5,10,17,2,1,Maritimo,1,1,5,2,4,19,2,1,H,D,7.0,15.0,10.0,4.0,2
2017-09-24,Tondela,1,1,6,2,3,14,2,1,Sp Braga,2,1,11,3,6,21,3,0,A,D,5.0,9.0,17.0,8.0,0
2017-09-25,Setubal,1,0,7,4,4,11,0,0,Boavista,1,0,9,4,6,20,1,0,D,D,6.0,6.0,11.0,12.0,1
2017-09-29,Chaves,1,1,15,7,10,11,2,0,Tondela,1,1,5,1,3,16,2,2,D,D,7.0,5.0,11.0,17.0,1
2017-09-30,Pacos Ferreira,3,2,6,5,2,20,4,0,Moreirense,2,1,13,8,6,19,1,0,H,H,6.0,6.0,14.0,17.0,2
2017-09-30,Boavista,1,1,9,2,6,15,3,0,Feirense,0,0,5,3,8,15,4,0,H,H,7.0,8.0,13.0,11.0,2
2017-09-30,Portimonense,2,1,15,5,11,15,3,0,Aves,2,1,8,2,1,7,2,0,D,D,6.0,5.0,15.0,18.0,1
2017-09-30,Rio Ave,2,0,9,6,3,12,3,0,Setubal,1,0,5,1,4,20,2,0,H,D,11.0,7.0,6.0,13.0,2
2017-10-01,Belenenses,1,1,4,2,1,15,4,0,Guimaraes,0,0,8,2,11,15,1,0,H,H,10.0,10.0,8.0,9.0,2
2017-10-01,Maritimo,1,0,10,6,4,12,2,0,Benfica,1,1,11,5,8,17,1,0,D,A,15.0,16.0,4.0,3.0,1
2017-10-01,Sp Braga,6,2,12,9,4,21,0,0,Estoril,0,0,10,3,5,17,2,0,H,H,12.0,6.0,7.0,17.0,2
2017-10-01,Sp Lisbon,0,0,3,1,10,13,2,0,Porto,0,0,9,6,2,17,3,0,D,D,19.0,21.0,2.0,1.0,1
2017-10-20,Estoril,0,0,11,4,11,15,2,0,Boavista,3,2,9,6,2,13,4,0,A,A,6.0,10.0,18.0,8.0,0
2017-10-21,Porto,6,4,17,12,6,12,2,0,Pacos Ferreira,1,1,6,3,2,20,4,0,H,H,22.0,9.0,1.0,10.0,2
2017-10-21,Setubal,3,0,14,6,6,18,0,0,Maritimo,1,1,4,3,2,21,2,1,H,A,7.0,16.0,13.0,4.0,2
2017-10-21,Feirense,1,1,6,2,5,18,5,1,Rio Ave,0,0,6,3,5,12,5,2,H,H,8.0,14.0,13.0,6.0,2
2017-10-22,Aves,1,0,8,3,5,7,1,0,Benfica,3,1,17,12,10,18,3,0,A,A,6.0,17.0,16.0,3.0,0
2017-10-22,Sp Lisbon,5,3,8,5,4,15,1,0,Chaves,1,0,7,2,4,11,1,0,H,H,20.0,8.0,3.0,13.0,2
2017-10-22,Tondela,2,0,16,5,2,19,4,0,Belenenses,0,0,8,2,1,23,4,1,H,D,6.0,13.0,15.0,8.0,2
2017-10-23,Guimaraes,3,1,14,8,8,16,1,0,Portimonense,3,3,8,6,3,18,2,0,D,A,10.0,7.0,11.0,15.0,1
2017-10-23,Moreirense,0,0,1,1,4,21,3,0,Sp Braga,1,0,13,6,7,22,2,0,A,D,6.0,15.0,17.0,5.0,0
2017-10-27,Benfica,1,1,11,5,7,20,0,0,Feirense,0,0,6,4,6,16,3,0,H,H,20.0,11.0,3.0,9.0,2
2017-10-27,Rio Ave,0,0,19,5,8,12,0,0,Sp Lisbon,1,0,5,1,3,12,2,0,A,D,14.0,23.0,6.0,2.0,0
2017-10-28,Maritimo,2,1,7,4,3,18,4,0,Tondela,0,0,9,3,2,21,3,0,H,H,16.0,9.0,5.0,12.0,2
2017-10-28,Belenenses,3,1,7,4,3,19,3,0,Moreirense,0,0,9,2,6,12,1,0,H,H,13.0,6.0,8.0,17.0,2
2017-10-28,Boavista,0,0,6,1,7,18,6,0,Porto,3,0,12,6,5,19,5,0,A,D,13.0,25.0,8.0,2.0,0
