Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2023-09-02,Casa Pia,1,1,10,5,12,18,1,0,Rio Ave,1,0,11,5,0,15,2,0,D,H,2.17,3.33,3.38,2.24,1.73,2.18,1.68,1.86,1.96,4.0,3.0,7.0,14.0,1
2023-09-02,Famalicao,1,0,21,4,12,16,1,0,Farense,0,0,6,1,4,14,3,1,H,D,1.79,3.59,4.6,2.17,1.77,2.09,1.74,2.02,1.81,4.0,3.0,8.0,12.0,2
2023-09-02,Portimonense,1,1,15,4,3,12,3,0,Estrela,1,1,10,1,7,16,6,0,D,D,2.63,3.21,2.75,2.15,1.8,2.08,1.74,1.88,1.97,1.0,3.0,17.0,15.0,1
2023-09-02,Benfica,4,3,20,9,11,9,2,0,Guimaraes,0,0,7,1,2,14,4,1,H,H,1.2,6.92,12.87,1.51,2.75,1.46,2.67,2.0,1.84,6.0,9.0,6.0,1.0,2
2023-09-03,Chaves,1,0,13,3,3,14,3,0,Moreirense,2,1,9,2,4,21,4,0,A,A,2.45,3.25,2.93,2.2,1.8,2.11,1.72,2.09,1.75,0.0,1.0,18.0,17.0,0
2023-09-03,Estoril,1,1,13,4,10,21,3,0,Boavista,2,2,14,8,5,12,1,0,A,A,2.42,3.29,2.93,2.12,1.83,2.05,1.77,2.08,1.77,3.0,7.0,15.0,5.0,0
2023-09-03,Porto,1,0,12,3,5,9,3,0,Arouca,1,0,10,2,2,14,2,0,D,D,1.26,6.05,10.4,1.61,2.5,1.54,2.43,1.99,1.83,9.0,5.0,3.0,8.0,1
2023-09-03,Sp Braga,1,0,6,2,4,16,2,0,Sp Lisbon,1,1,4,2,2,9,5,0,D,A,2.99,3.55,2.26,1.84,2.1,1.77,2.04,1.86,1.96,3.0,9.0,14.0,4.0,1
2023-09-09,Moreirense,2,2,11,3,4,12,2,0,Sp Braga,3,1,12,5,5,11,2,0,A,H,4.11,3.84,1.81,1.76,2.19,1.71,2.12,2.04,1.81,4.0,4.0,10.0,9.0,0
2023-09-15,Estrela,0,0,9,1,10,12,3,0,Porto,1,1,10,4,6,21,5,0,A,A,8.55,5.14,1.34,1.67,2.35,1.65,2.25,1.82,2.02,4.0,10.0,13.0,2.0,0
2023-09-16,Rio Ave,1,0,5,0,3,15,1,0,Famalicao,1,1,12,4,3,20,3,0,D,A,2.57,3.17,2.86,2.36,1.66,2.29,1.61,1.82,2.02,4.0,7.0,11.0,7.0,1
2023-09-16,Farense,3,2,16,4,7,16,4,0,Sp Braga,1,0,17,7,3,10,5,0,H,H,4.58,4.03,1.7,1.7,2.29,1.67,2.2,1.94,1.87,3.0,7.0,15.0,7.0,2
2023-09-16,Vizela,1,0,12,2,2,15,2,0,Benfica,2,2,17,7,3,6,1,0,A,A,8.41,5.52,1.33,1.58,2.55,1.54,2.44,1.89,1.94,4.0,9.0,13.0,4.0,0
2023-09-17,Arouca,0,0,11,5,2,12,2,0,Casa Pia,1,0,12,2,7,7,3,0,A,D,2.39,3.24,3.03,2.27,1.73,2.18,1.68,2.04,1.79,6.0,5.0,9.0,10.0,0
2023-09-17,Gil Vicente,5,3,12,7,5,11,3,0,Estoril,3,0,14,6,8,15,2,0,H,H,2.13,3.51,3.31,1.97,1.96,1.89,1.9,1.84,1.98,3.0,3.0,15.0,16.0,2
2023-09-17,Guimaraes,1,1,11,3,10,16,2,0,Portimonense,2,0,9,2,3,13,4,0,A,H,1.55,4.08,5.97,1.96,1.97,1.89,1.9,1.95,1.87,9.0,2.0,5.0,17.0,0
2023-09-17,Sp Lisbon,3,0,20,9,8,10,3,0,Moreirense,0,0,7,1,2,16,3,1,H,D,1.22,6.38,12.36,1.61,2.47,1.57,2.37,1.86,1.95,10.0,4.0,4.0,14.0,2
2023-09-18,Boavista,4,4,7,4,3,12,1,0,Chaves,1,0,21,10,12,15,3,0,H,H,1.71,3.98,4.51,1.8,2.27,1.7,2.14,1.91,1.91,10.0,0.0,4.0,18.0,2
2023-09-22,Famalicao,1,1,7,4,6,15,5,1,Arouca,0,0,13,6,8,23,2,1,H,H,2.02,3.33,3.86,2.33,1.7,2.2,1.64,2.02,1.83,8.0,6.0,7.0,11.0,2
2023-09-23,Estoril,2,0,16,6,5,13,1,0,Vizela,2,0,11,7,3,15,2,0,D,D,2.5,3.38,2.78,2.03,1.9,1.96,1.85,1.83,2.02,3.0,4.0,17.0,14.0,1
2023-09-23,Moreirense,1,1,15,3,11,10,1,0,Farense,0,0,10,2,3,17,2,0,H,H,2.18,3.43,3.28,2.02,1.91,1.95,1.85,1.88,1.94,4.0,6.0,17.0,10.0,2
2023-09-23,Casa Pia,0,0,10,2,8,16,3,0,Guimaraes,0,0,14,3,9,11,2,0,D,D,2.36,3.2,3.12,2.37,1.64,2.27,1.6,2.0,1.82,8.0,9.0,7.0,6.0,1
2023-09-23,Porto,2,1,20,7,6,15,1,0,Gil Vicente,1,1,12,4,3,12,3,0,H,D,1.22,6.68,11.87,1.53,2.75,1.48,2.61,1.82,2.01,13.0,6.0,3.0,10.0,2
2023-09-24,Chaves,2,0,17,8,9,11,4,0,Estrela,2,1,10,3,5,11,4,1,D,A,2.57,3.41,2.66,1.95,2.02,1.88,1.92,1.92,1.93,0.0,4.0,18.0,17.0,1
2023-09-24,Portimonense,1,0,9,2,3,7,1,0,Benfica,3,2,13,7,4,7,0,0,A,A,10.84,6.18,1.25,1.52,2.72,1.48,2.59,1.92,1.9,5.0,12.0,16.0,4.0,0
2023-09-24,Sp Braga,4,2,24,9,6,8,2,0,Boavista,1,1,6,2,2,9,3,1,H,H,1.52,4.45,5.65,1.67,2.35,1.63,2.26,1.86,1.97,7.0,13.0,8.0,3.0,2
2023-09-25,Sp Lisbon,2,2,10,6,4,14,1,0,Rio Ave,0,0,7,2,2,12,5,0,H,H,1.2,6.7,13.55,1.62,2.45,1.56,2.39,2.04,1.79,13.0,5.0,3.0,13.0,2
2023-09-28,Estrela,2,0,17,9,8,9,1,0,Sp Braga,4,1,17,9,6,13,3,0,A,A,4.63,3.95,1.7,1.75,2.22,1.71,2.12,1.93,1.88,5.0,10.0,14.0,6.0,0
2023-09-29,Benfica,1,0,12,2,9,18,4,0,Porto,0,0,6,3,5,10,5,1,H,D,1.93,3.64,3.85,1.89,2.06,1.83,1.97,1.93,1.91,15.0,16.0,3.0,2.0,2
2023-09-30,Vizela,2,0,14,4,13,11,3,0,Portimonense,3,2,9,7,2,16,3,0,A,A,1.81,3.62,4.44,2.08,1.88,1.99,1.81,2.04,1.79,5.0,5.0,13.0,16.0,0
2023-09-30,Boavista,2,1,10,6,2,23,5,1,Famalicao,2,1,7,3,4,21,4,2,D,D,2.2,3.43,3.25,2.04,1.87,1.97,1.83,1.9,1.92,13.0,11.0,5.0,6.0,1
2023-09-30,Farense,2,1,9,4,2,13,5,1,Sp Lisbon,3,2,23,10,8,12,6,0,A,A,6.54,4.61,1.45,1.71,2.38,1.61,2.28,1.83,1.99,6.0,16.0,12.0,2.0,0
2023-10-01,Arouca,0,0,11,2,5,16,3,1,Chaves,2,0,5,3,3,10,5,0,A,D,1.82,3.67,4.29,1.96,2.0,1.88,1.88,2.04,1.79,6.0,1.0,13.0,18.0,0
2023-10-01,Guimaraes,3,0,25,8,11,16,4,0,Estoril,2,2,10,5,2,13,4,1,H,A,1.82,3.65,4.31,2.0,1.94,1.95,1.85,2.05,1.77,10.0,4.0,7.0,17.0,2
2023-10-01,Rio Ave,0,0,10,4,4,13,3,0,Moreirense,4,2,11,6,2,26,5,0,A,A,2.33,3.33,3.07,2.17,1.78,2.1,1.73,1.99,1.83,5.0,7.0,14.0,10.0,0
2023-10-02,Gil Vicente,2,0,16,9,5,10,3,0,Casa Pia,0,0,8,1,5,15,3,1,H,D,2.32,3.32,3.08,2.13,1.83,2.04,1.77,1.99,1.83,6.0,9.0,11.0,9.0,2
2023-10-06,Moreirense,1,1,11,6,6,13,0,0,Boavista,1,1,8,1,1,13,3,0,D,D,1.93,3.6,3.82,1.97,1.99,1.88,1.92,1.93,1.9,10.0,14.0,8.0,4.0,1
2023-10-07,Estoril,0,0,16,4,4,15,3,0,Benfica,1,0,21,5,7,8,2,0,A,D,9.92,6.06,1.26,1.5,2.86,1.45,2.72,1.86,1.95,4.0,18.0,17.0,2.0,0
2023-10-07,Sp Braga,2,0,33,11,16,8,1,0,Rio Ave,1,1,9,3,1,11,2,0,H,A,1.31,5.48,9.25,1.63,2.48,1.58,2.36,1.9,1.93,13.0,5.0,5.0,16.0,2
2023-10-07,Chaves,4,1,15,9,6,17,3,1,Gil Vicente,2,2,9,5,1,14,3,0,H,A,2.54,3.44,2.68,1.95,2.01,1.89,1.9,1.87,1.96,4.0,9.0,18.0,9.0,2
2023-10-07,Farense,0,0,20,6,14,21,1,0,Vizela,0,0,17,6,6,11,1,0,D,D,2.14,3.44,3.34,1.94,1.96,1.9,1.89,1.84,1.97,6.0,5.0,13.0,15.0,1
2023-10-08,Casa Pia,0,0,7,2,3,16,1,0,Estrela,1,0,11,6,6,8,1,0,A,D,2.04,3.32,3.73,2.25,1.72,2.17,1.67,2.05,1.79,9.0,5.0,10.0,16.0,0
2023-10-08,Famalicao,1,0,13,6,11,15,4,0,Guimaraes,3,2,12,4,3,20,3,0,A,A,2.57,3.18,2.82,2.32,1.74,2.19,1.67,1.83,2.0,12.0,13.0,7.0,6.0,0
2023-10-08,Porto,1,1,18,7,10,12,4,1,Portimonense,0,0,4,2,5,19,6,0,H,H,1.14,8.11,17.24,1.47,2.9,1.43,2.79,1.96,1.85,16.0,8.0,4.0,12.0,2
2023-10-08,Sp Lisbon,2,1,10,5,5,7,4,1,Arouca,1,0,11,5,2,18,7,1,H,H,1.25,5.91,11.27,1.65,2.45,1.59,2.33,1.95,1.85,19.0,6.0,2.0,15.0,2
2023-10-27,Arouca,0,0,13,3,7,11,2,0,Moreirense,1,1,12,5,5,14,2,1,A,A,2.54,3.24,2.86,2.24,1.78,2.14,1.71,1.81,2.04,6.0,11.0,16.0,8.0,0
2023-10-28,Gil Vicente,3,1,13,6,4,14,4,0,Sp Braga,3,0,18,7,9,21,2,1,D,H,4.07,4.04,1.79,1.61,2.47,1.58,2.36,1.85,1.97,9.0,16.0,9.0,4.0,1
2023-10-28,Guimaraes,5,3,13,6,4,16,0,0,Chaves,0,0,7,3,3,6,3,1,H,H,1.62,4.05,5.31,1.85,2.08,1.79,2.02,2.05,1.8,16.0,7.0,5.0,14.0,2
2023-10-28,Benfica,1,1,13,7,10,12,1,0,Casa Pia,1,0,6,3,2,20,2,0,D,H,1.2,6.83,14.41,1.6,2.43,1.57,2.33,1.8,2.03,21.0,9.0,2.0,10.0,1
2023-10-28,Portimonense,1,1,14,8,6,14,6,0,Estoril,0,0,14,4,4,8,1,0,H,H,2.48,3.42,2.79,2.0,1.93,1.95,1.84,1.82,2.03,8.0,4.0,12.0,18.0,2
2023-10-29,Rio Ave,3,2,11,4,5,19,3,0,Farense,4,2,13,7,6,12,3,0,A,D,2.35,3.36,3.02,2.08,1.85,2.01,1.8,2.01,1.82,5.0,7.0,17.0,13.0,0
2023-10-29,Estrela,1,0,12,4,3,18,3,0,Famalicao,0,0,9,1,2,15,3,1,H,D,2.5,3.24,2.91,2.32,1.72,2.21,1.67,1.78,2.09,8.0,12.0,13.0,8.0,2
2023-10-29,Vizela,0,0,8,1,4,16,3,0,Porto,2,2,13,3,4,17,4,0,A,A,6.95,4.57,1.45,1.8,2.17,1.74,2.1,1.83,2.01,6.0,19.0,15.0,4.0,0
2023-10-30,Boavista,0,0,7,2,4,16,3,0,Sp Lisbon,2,1,14,6,8,13,2,0,A,A,6.3,4.54,1.48,1.66,2.36,1.62,2.3,2.07,1.78,15.0,22.0,6.0,2.0,0
