Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2012-08-18,Arsenal,0,0,14,4,7,12,0,0,Sunderland,0,0,3,2,0,8,0,0,C Foy,D,D,0.0,0.0,1.0,15.0,1
2012-08-18,Fulham,5,2,11,9,6,12,0,0,Norwich,0,0,4,2,3,11,0,0,M Oliver,H,H,0.0,0.0,6.0,11.0,2
2012-08-18,Newcastle,2,0,6,4,3,12,2,0,Tottenham,1,0,12,6,5,8,2,0,M Atkinson,H,D,0.0,0.0,10.0,16.0,2
2012-08-18,QPR,0,0,20,11,5,11,2,0,Swansea,5,1,12,8,3,14,2,0,L Probert,A,A,0.0,0.0,11.0,15.0,0
2012-08-18,Reading,1,0,9,3,4,9,2,0,Stoke,1,1,6,3,3,14,4,1,K Friend,D,A,0.0,0.0,12.0,14.0,1
2012-08-18,West Brom,3,1,15,10,7,10,1,0,Liverpool,0,0,14,7,3,11,4,1,P Dowd,H,H,0.0,0.0,15.0,11.0,2
2012-08-18,West Ham,1,1,8,4,6,17,0,0,Aston Villa,0,0,10,6,4,8,1,0,M Dean,H,H,0.0,0.0,15.0,9.0,2
2012-08-19,Man City,3,1,20,15,7,4,1,0,Southampton,2,0,9,6,3,6,2,0,H Webb,H,H,0.0,0.0,12.0,14.0,2
2012-08-19,Wigan,0,0,12,4,7,16,2,0,Chelsea,2,2,5,3,1,11,2,0,M Jones,A,A,0.0,0.0,14.0,11.0,0
2012-08-20,Everton,1,0,16,7,6,12,1,0,Man United,0,0,12,7,8,11,2,0,A Marriner,H,D,0.0,0.0,12.0,13.0,2
2012-08-22,Chelsea,4,1,23,11,1,11,0,0,Reading,2,2,7,5,5,14,2,0,L Mason,H,A,3.0,1.0,4.0,9.0,2
2012-08-25,Aston Villa,1,0,7,3,1,10,1,1,Everton,3,3,19,11,9,7,0,0,M Oliver,A,A,0.0,3.0,15.0,7.0,0
2012-08-25,Chelsea,2,2,11,6,2,8,1,0,Newcastle,0,0,11,5,3,10,0,0,P Dowd,H,H,6.0,3.0,1.0,7.0,2
2012-08-25,Man United,3,3,20,11,8,12,0,0,Fulham,2,1,14,11,8,7,1,0,K Friend,H,H,0.0,3.0,15.0,3.0,2
2012-08-25,Norwich,1,1,13,4,6,15,0,0,QPR,1,1,6,4,2,14,2,0,M Clattenburg,D,D,0.0,0.0,19.0,20.0,1
2012-08-25,Southampton,0,0,14,9,10,11,0,0,Wigan,2,0,12,8,3,9,0,0,A Taylor,A,D,0.0,0.0,16.0,18.0,0
2012-08-25,Swansea,3,2,10,7,5,13,2,0,West Ham,0,0,7,6,4,17,4,0,M Atkinson,H,H,3.0,3.0,3.0,7.0,2
2012-08-25,Tottenham,1,0,18,10,7,8,1,0,West Brom,1,0,10,5,5,7,2,0,M Dean,D,D,0.0,3.0,17.0,5.0,1
2012-08-26,Liverpool,2,1,15,8,4,10,1,0,Man City,2,0,11,5,4,7,0,0,A Marriner,D,H,0.0,3.0,20.0,6.0,1
2012-08-26,Stoke,0,0,7,4,0,9,2,0,Arsenal,0,0,16,6,11,9,0,0,L Mason,D,D,1.0,1.0,11.0,12.0,1
2012-09-01,Wigan,2,1,9,5,2,13,1,0,Stoke,2,1,16,8,1,11,2,0,M Atkinson,D,D,3.0,2.0,8.0,11.0,1
2012-09-01,West Ham,3,3,17,12,6,12,0,0,Fulham,0,0,14,13,6,5,0,0,A Taylor,H,H,3.0,3.0,11.0,7.0,2
2012-09-01,West Brom,2,0,14,8,6,11,1,0,Everton,0,0,12,5,3,15,4,0,J Moss,H,D,4.0,6.0,5.0,3.0,2
2012-09-01,Swansea,2,1,14,10,8,11,1,1,Sunderland,2,2,4,3,0,7,1,0,R East,D,A,6.0,1.0,3.0,13.0,1
2012-09-01,Man City,3,1,19,12,8,12,2,0,QPR,1,0,9,5,3,3,1,0,C Foy,H,H,4.0,1.0,6.0,18.0,2
2012-09-01,Tottenham,1,0,15,9,4,7,1,1,Norwich,1,0,10,4,2,12,0,0,M Halsey,D,D,1.0,1.0,14.0,17.0,1
2012-09-02,Liverpool,0,0,17,8,10,12,2,0,Arsenal,2,1,11,7,2,7,2,0,H Webb,A,A,1.0,2.0,17.0,13.0,0
2012-09-02,Newcastle,1,0,16,6,10,6,1,0,Aston Villa,1,1,13,9,6,20,4,0,L Probert,D,A,3.0,0.0,12.0,20.0,1
2012-09-02,Southampton,2,1,15,8,4,9,1,0,Man United,3,1,18,9,7,4,0,0,M Dean,A,D,0.0,3.0,20.0,11.0,0
2012-09-15,QPR,0,0,10,6,2,16,0,0,Chelsea,0,0,13,9,4,17,2,0,A Marriner,D,D,1.0,9.0,19.0,1.0,1
2012-09-15,Sunderland,1,1,6,4,2,18,1,0,Liverpool,1,0,20,9,7,10,2,0,M Atkinson,D,H,2.0,1.0,13.0,19.0,1
2012-09-15,Stoke,1,1,4,3,6,12,0,0,Man City,1,1,15,11,5,12,1,0,M Clattenburg,D,D,3.0,7.0,12.0,4.0,1
2012-09-15,Norwich,0,0,20,14,8,10,0,0,West Ham,0,0,9,4,5,12,1,0,C Foy,D,D,2.0,6.0,16.0,7.0,1
2012-09-15,Fulham,3,2,23,14,5,6,0,0,West Brom,0,0,10,8,4,10,0,1,R East,H,H,3.0,7.0,12.0,4.0,2
2012-09-15,Aston Villa,2,1,17,13,11,11,3,0,Swansea,0,0,10,5,5,4,1,0,L Mason,H,H,1.0,7.0,19.0,3.0,2
2012-09-15,Arsenal,6,4,20,12,8,4,0,0,Southampton,1,1,9,4,3,7,0,0,K Friend,H,H,5.0,0.0,9.0,20.0,2
2012-09-15,Man United,4,0,17,10,5,10,2,0,Wigan,0,0,8,4,5,14,2,0,M Oliver,H,D,6.0,4.0,8.0,11.0,2
2012-09-16,Reading,1,0,4,2,7,4,0,0,Tottenham,3,1,22,11,4,9,1,0,H Webb,A,A,1.0,2.0,19.0,16.0,0
2012-09-17,Everton,2,1,17,10,3,16,3,0,Newcastle,2,0,11,7,3,12,3,0,M Jones,D,H,6.0,4.0,9.0,13.0,1
2012-09-22,West Ham,1,0,20,11,10,12,2,0,Sunderland,1,1,4,2,1,10,1,0,L Mason,D,A,7.0,3.0,8.0,15.0,1
2012-09-22,Chelsea,1,0,17,9,13,12,2,0,Stoke,0,0,13,6,3,15,1,0,M Oliver,H,D,10.0,4.0,1.0,12.0,2
2012-09-22,Southampton,4,0,12,4,1,5,1,0,Aston Villa,1,1,8,2,4,13,3,0,J Moss,H,A,0.0,4.0,20.0,13.0,2
2012-09-22,Swansea,0,0,18,11,8,23,4,1,Everton,3,2,30,19,3,7,1,0,A Taylor,A,A,7.0,7.0,6.0,8.0,0
2012-09-22,West Brom,1,0,9,4,9,14,1,0,Reading,0,0,8,1,1,6,0,0,C Foy,H,D,7.0,1.0,8.0,20.0,2
2012-09-22,Wigan,1,0,18,9,8,7,0,0,Fulham,2,1,12,9,7,13,3,0,L Probert,A,A,4.0,6.0,15.0,9.0,0
2012-09-23,Tottenham,2,0,18,14,10,7,0,0,QPR,1,1,9,6,9,12,2,0,P Dowd,H,A,5.0,2.0,10.0,19.0,2
2012-09-23,Newcastle,1,1,16,8,4,11,1,0,Norwich,0,0,8,3,5,19,1,0,N Swarbrick,H,H,5.0,3.0,11.0,16.0,2
2012-09-23,Liverpool,1,0,13,8,7,14,1,1,Man United,2,0,8,4,3,7,2,0,M Halsey,A,D,2.0,9.0,18.0,5.0,0
2012-09-23,Man City,1,1,14,10,9,11,1,0,Arsenal,1,0,10,4,4,7,0,0,M Dean,D,H,8.0,8.0,7.0,6.0,1
2012-09-29,Sunderland,1,0,11,6,8,20,2,0,Wigan,0,0,8,3,1,16,5,1,H Webb,H,D,4.0,4.0,12.0,15.0,2
2012-09-29,Arsenal,1,1,14,5,6,14,2,0,Chelsea,2,1,10,5,5,13,3,0,M Atkinson,A,D,9.0,13.0,5.0,1.0,0
2012-09-29,Everton,3,3,17,9,10,2,0,0,Southampton,1,1,8,2,3,3,0,0,L Probert,H,H,10.0,3.0,3.0,16.0,2
2012-09-29,Fulham,1,1,7,3,2,7,0,0,Man City,2,1,21,12,4,12,1,0,M Halsey,A,D,9.0,9.0,6.0,7.0,0
2012-09-29,Man United,2,0,15,8,9,5,0,0,Tottenham,3,2,10,6,5,7,0,0,C Foy,A,A,12.0,8.0,3.0,8.0,0
2012-09-29,Norwich,2,0,10,7,5,5,1,0,Liverpool,5,2,10,6,5,2,0,0,M Jones,A,A,3.0,2.0,16.0,18.0,0
2012-09-29,Reading,2,0,14,7,6,6,0,0,Newcastle,2,0,8,3,3,8,3,0,A Marriner,D,D,1.0,8.0,20.0,10.0,1
2012-09-29,Stoke,2,2,10,5,6,10,1,0,Swansea,0,0,8,0,8,8,1,0,J Moss,H,H,4.0,7.0,14.0,11.0,2
2012-09-30,Aston Villa,1,0,19,8,11,9,1,0,West Brom,1,0,14,7,4,11,1,0,A Taylor,D,D,4.0,10.0,15.0,6.0,1
2012-10-01,QPR,1,0,13,9,4,9,1,1,West Ham,2,2,17,10,13,21,8,0,M Clattenburg,A,A,2.0,8.0,20.0,10.0,0
2012-10-06,West Ham,1,1,7,3,4,12,3,0,Arsenal,3,1,20,14,16,7,2,0,P Dowd,A,D,11.0,9.0,7.0,8.0,0
2012-10-06,West Brom,3,2,13,8,2,16,2,0,QPR,2,1,13,6,5,12,2,0,M Jones,H,H,11.0,2.0,7.0,20.0,2
2012-10-06,Man City,3,1,26,16,15,10,0,0,Sunderland,0,0,8,6,4,10,3,0,L Probert,H,H,12.0,7.0,6.0,13.0,2
2012-10-06,Chelsea,4,3,20,13,10,7,0,0,Norwich,1,1,7,4,2,1,0,0,A Taylor,H,H,16.0,3.0,1.0,18.0,2
2012-10-06,Wigan,2,2,10,6,7,14,2,0,Everton,2,1,16,11,6,14,5,0,K Friend,D,H,4.0,13.0,16.0,4.0,1
2012-10-06,Swansea,2,0,25,16,11,8,1,0,Reading,2,2,8,6,3,11,3,0,M Dean,D,A,7.0,2.0,11.0,19.0,1
2012-10-07,Southampton,2,1,13,6,8,13,4,0,Fulham,2,0,14,5,8,5,0,0,M Clattenburg,D,H,3.0,9.0,18.0,9.0,1
2012-10-07,Tottenham,2,0,23,10,8,7,1,0,Aston Villa,0,0,8,5,0,10,3,0,N Swarbrick,H,D,11.0,5.0,7.0,15.0,2
2012-10-07,Liverpool,0,0,16,5,5,9,0,0,Stoke,0,0,5,3,5,16,6,0,L Mason,D,D,5.0,7.0,14.0,12.0,1
2012-10-07,Newcastle,0,0,13,3,8,15,4,0,Man United,3,2,12,9,6,12,4,0,H Webb,A,A,9.0,12.0,10.0,7.0,0
2012-10-20,West Ham,4,0,9,8,6,10,0,0,Southampton,1,0,11,4,3,12,2,0,N Swarbrick,H,D,11.0,4.0,8.0,17.0,2
2012-10-20,Tottenham,2,0,23,16,7,7,3,0,Chelsea,4,1,11,7,4,8,2,0,M Dean,A,A,14.0,19.0,5.0,1.0,0
2012-10-20,West Brom,1,0,16,8,6,11,4,0,Man City,2,0,21,13,9,15,3,1,M Clattenburg,A,D,14.0,15.0,5.0,3.0,0
2012-10-20,Swansea,2,0,18,11,9,13,2,0,Wigan,1,0,10,7,2,11,3,0,M Jones,H,D,8.0,5.0,11.0,15.0,2
2012-10-20,Fulham,1,0,17,8,6,7,1,0,Aston Villa,0,0,9,4,4,11,2,0,C Foy,H,D,10.0,5.0,10.0,15.0,2
2012-10-20,Man United,4,2,13,8,3,9,1,0,Stoke,2,1,8,6,3,10,1,0,A Taylor,H,H,15.0,8.0,3.0,12.0,2
