Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2019-08-09,Liverpool,4,4,15,7,11,9,0,0,Norwich,1,0,12,5,2,9,2,0,M Oliver,H,H,1.14,8.75,19.83,1.45,3.11,1.41,2.92,1.94,1.94,0.0,0.0,10.0,14.0,2
2019-08-10,West Ham,0,0,5,3,1,6,2,0,Man City,5,1,14,9,1,13,2,0,M Dean,A,A,11.84,6.28,1.25,1.51,2.77,1.48,2.65,1.99,1.89,0.0,0.0,18.0,11.0,0
2019-08-10,Bournemouth,1,0,13,3,3,10,2,0,Sheffield United,1,0,8,3,4,19,1,0,K Friend,D,D,2.01,3.53,3.83,2.0,1.99,1.9,1.93,2.0,1.88,0.0,0.0,5.0,14.0,1
2019-08-10,Burnley,3,0,10,4,2,6,0,0,Southampton,0,0,11,3,7,12,0,0,G Scott,H,D,2.68,3.22,2.78,2.2,1.78,2.12,1.73,1.91,1.98,0.0,0.0,8.0,15.0,2
2019-08-10,Crystal Palace,0,0,6,2,6,16,2,0,Everton,0,0,10,3,2,14,1,1,J Moss,D,D,3.13,3.27,2.4,2.25,1.74,2.18,1.7,1.84,2.04,0.0,0.0,10.0,11.0,1
2019-08-10,Watford,0,0,11,3,5,15,0,0,Brighton,3,1,5,3,2,11,1,0,C Pawson,A,A,1.94,3.41,4.26,2.24,1.76,2.16,1.71,1.94,1.94,0.0,0.0,16.0,10.0,0
2019-08-10,Tottenham,3,0,31,7,14,13,1,0,Aston Villa,1,1,7,4,0,9,0,0,C Kavanagh,H,A,1.3,5.53,10.51,1.7,2.4,1.65,2.26,1.93,1.94,0.0,0.0,15.0,10.0,2
2019-08-11,Leicester,0,0,15,1,12,3,0,0,Wolves,0,0,8,2,3,13,2,0,A Marriner,D,D,2.22,3.28,3.48,2.25,1.74,2.17,1.7,1.91,1.98,0.0,0.0,12.0,15.0,1
2019-08-11,Newcastle,0,0,9,2,5,12,1,0,Arsenal,1,0,8,2,3,7,3,0,M Atkinson,A,D,4.49,3.82,1.79,1.83,2.14,1.77,2.07,1.85,2.03,0.0,0.0,15.0,12.0,0
2019-08-11,Man United,4,1,11,5,3,15,3,0,Chelsea,0,0,18,7,5,13,4,0,A Taylor,H,H,2.19,3.32,3.49,2.1,1.87,2.01,1.83,1.89,2.0,0.0,0.0,14.0,13.0,2
