Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2015-08-30,Swansea,2,0,9,4,0,6,2,0,Man United,1,0,11,4,1,15,2,0,M Atkinson,H,D,5.0,7.0,8.0,4.0,2
2015-09-12,Norwich,3,1,12,4,4,10,2,0,Bournemouth,1,0,7,2,4,11,3,0,M Atkinson,H,H,4.0,4.0,14.0,11.0,2
2015-09-12,West Brom,0,0,8,1,4,5,1,0,Southampton,0,0,14,4,5,5,0,0,S Attwell,D,D,4.0,5.0,15.0,11.0,1
2015-09-12,Man United,3,0,9,3,4,6,1,0,Liverpool,1,0,8,4,4,11,2,0,M Oliver,H,D,7.0,7.0,5.0,8.0,2
2015-09-12,Watford,1,0,17,6,1,11,1,1,Swansea,0,0,8,3,3,14,1,0,R Madley,H,D,3.0,8.0,17.0,5.0,2
2015-09-12,Crystal Palace,0,0,10,2,4,13,2,0,Man City,1,0,21,7,4,13,3,0,M Jones,A,D,9.0,12.0,3.0,1.0,0
2015-09-12,Everton,3,2,14,9,7,12,2,0,Chelsea,1,1,15,2,14,12,2,0,A Marriner,H,H,5.0,4.0,12.0,16.0,2
2015-09-12,Arsenal,2,1,29,12,13,6,1,0,Stoke,0,0,9,4,1,13,1,0,J Moss,H,H,7.0,2.0,7.0,18.0,2
2015-09-13,Leicester,3,0,21,6,4,8,2,0,Aston Villa,2,1,11,4,5,13,1,0,M Dean,H,A,8.0,4.0,6.0,14.0,2
2015-09-13,Sunderland,0,0,12,2,6,11,2,0,Tottenham,1,0,15,4,8,12,1,0,C Pawson,A,D,2.0,3.0,19.0,17.0,0
2015-09-14,West Ham,2,1,17,3,6,8,0,0,Newcastle,0,0,14,4,7,11,2,0,A Taylor,H,H,6.0,2.0,10.0,18.0,2
2015-09-19,Swansea,0,0,12,3,2,12,2,0,Everton,0,0,17,2,4,11,2,1,S Attwell,D,D,8.0,8.0,8.0,7.0,1
2015-09-19,Stoke,2,2,11,4,3,7,1,0,Leicester,2,0,12,5,4,12,4,0,A Marriner,D,H,2.0,11.0,18.0,2.0,1
2015-09-19,Newcastle,1,0,15,5,5,8,1,0,Watford,2,2,13,4,5,12,2,0,R East,A,A,2.0,6.0,20.0,13.0,0
2015-09-19,Man City,1,1,27,8,16,10,1,0,West Ham,2,2,6,3,3,7,2,0,R Madley,A,A,15.0,9.0,1.0,5.0,0
2015-09-19,Chelsea,2,0,22,7,5,12,3,0,Arsenal,0,0,9,2,5,11,1,2,M Dean,H,D,4.0,10.0,17.0,5.0,2
2015-09-19,Bournemouth,2,2,15,5,7,14,2,0,Sunderland,0,0,9,2,3,15,4,1,K Friend,H,H,4.0,2.0,17.0,19.0,2
2015-09-19,Aston Villa,0,0,13,3,2,10,2,0,West Brom,1,1,11,6,7,11,3,0,M Atkinson,A,A,4.0,5.0,17.0,16.0,0
2015-09-20,Liverpool,1,0,23,7,6,4,1,0,Norwich,1,0,7,2,2,13,2,0,A Taylor,D,D,7.0,7.0,14.0,12.0,1
2015-09-20,Southampton,2,1,15,8,5,6,2,0,Man United,3,1,10,3,5,13,0,0,M Clattenburg,A,D,6.0,10.0,15.0,4.0,0
2015-09-20,Tottenham,1,0,22,6,6,9,1,0,Crystal Palace,0,0,12,4,5,11,2,0,M Oliver,H,D,6.0,9.0,15.0,7.0,2
2015-09-26,Tottenham,4,1,15,8,5,17,5,0,Man City,1,1,22,8,9,6,1,0,M Clattenburg,H,D,9.0,15.0,9.0,1.0,2
2015-09-26,Stoke,2,1,8,5,3,13,1,0,Bournemouth,1,0,11,6,7,11,0,0,L Mason,H,H,3.0,7.0,18.0,14.0,2
2015-09-26,Southampton,3,1,18,7,4,18,3,0,Swansea,1,0,11,4,3,14,1,0,R East,H,H,6.0,9.0,16.0,8.0,2
2015-09-26,West Ham,2,1,19,7,7,7,0,0,Norwich,2,1,16,7,5,17,0,0,M Dean,D,D,12.0,8.0,3.0,12.0,1
2015-09-26,Man United,3,1,12,7,5,12,0,0,Sunderland,0,0,9,4,2,17,3,0,M Jones,H,H,13.0,2.0,3.0,20.0,2
2015-09-26,Liverpool,3,1,21,12,11,8,0,0,Aston Villa,2,0,10,4,1,13,0,0,J Moss,H,H,8.0,4.0,14.0,18.0,2
2015-09-26,Leicester,2,1,16,7,6,9,1,0,Arsenal,5,2,26,12,5,12,1,0,C Pawson,A,A,12.0,10.0,4.0,7.0,0
2015-09-26,Newcastle,2,1,11,5,4,12,1,0,Chelsea,2,0,16,4,6,15,2,0,M Atkinson,D,H,2.0,7.0,19.0,16.0,1
2015-09-27,Watford,0,0,15,2,6,17,4,0,Crystal Palace,1,0,16,3,4,22,4,0,A Taylor,A,D,9.0,9.0,12.0,10.0,0
2015-09-28,West Brom,2,1,9,4,6,9,0,0,Everton,3,0,12,4,4,8,3,0,R Madley,A,H,8.0,9.0,14.0,9.0,0
2015-10-03,Aston Villa,0,0,13,2,9,12,1,0,Stoke,1,0,12,5,5,12,0,0,M Jones,A,D,4.0,6.0,18.0,17.0,0
2015-10-03,Bournemouth,1,1,12,6,5,8,1,0,Watford,1,1,11,2,3,13,1,0,M Oliver,D,D,7.0,9.0,17.0,13.0,1
2015-10-03,Chelsea,1,1,10,3,4,14,2,0,Southampton,3,1,13,5,6,14,5,0,R Madley,A,D,8.0,9.0,16.0,11.0,0
2015-10-03,Crystal Palace,2,0,21,8,8,14,3,0,West Brom,0,0,7,2,3,13,3,0,J Moss,H,D,12.0,8.0,8.0,16.0,2
2015-10-03,Man City,6,1,23,11,6,13,3,0,Newcastle,1,1,6,4,3,8,1,0,K Friend,H,D,15.0,3.0,2.0,19.0,2
2015-10-03,Norwich,1,0,17,2,16,4,0,0,Leicester,2,1,16,5,8,4,1,0,M Clattenburg,A,A,9.0,12.0,13.0,9.0,0
2015-10-03,Sunderland,2,2,12,3,1,14,2,1,West Ham,2,1,20,6,8,11,4,0,N Swarbrick,D,H,2.0,13.0,20.0,5.0,1
2015-10-04,Swansea,2,2,11,2,5,8,1,0,Tottenham,2,1,19,11,6,19,4,0,M Dean,D,H,9.0,12.0,12.0,8.0,1
2015-10-04,Arsenal,3,3,12,5,3,8,1,0,Man United,0,0,9,5,6,17,3,0,A Taylor,H,H,13.0,16.0,7.0,2.0,2
2015-10-04,Everton,1,1,14,4,5,10,3,0,Liverpool,1,1,13,4,11,19,3,0,M Atkinson,D,D,12.0,11.0,8.0,10.0,1
2015-10-17,Chelsea,2,1,9,3,4,22,1,0,Aston Villa,0,0,8,1,4,17,3,0,R East,H,H,8.0,4.0,16.0,18.0,2
2015-10-17,Crystal Palace,1,1,6,1,1,9,1,1,West Ham,3,1,24,4,9,11,3,0,M Clattenburg,A,D,15.0,14.0,4.0,6.0,0
2015-10-17,Everton,0,0,12,3,5,12,2,0,Man United,3,2,10,7,3,14,2,0,J Moss,A,A,13.0,16.0,7.0,4.0,0
2015-10-17,Man City,5,4,15,11,1,11,2,0,Bournemouth,1,1,5,1,7,5,1,0,M Dean,H,H,18.0,8.0,2.0,16.0,2
2015-10-17,Southampton,2,2,14,6,6,16,2,0,Leicester,2,0,26,7,7,10,0,0,P Tierney,D,H,12.0,15.0,9.0,5.0,1
2015-10-17,Tottenham,0,0,13,4,8,15,1,0,Liverpool,0,0,12,3,6,11,2,0,C Pawson,D,D,13.0,12.0,7.0,10.0,1
2015-10-17,Watford,0,0,8,1,3,11,2,0,Arsenal,3,0,17,6,9,12,1,0,M Jones,A,D,10.0,16.0,13.0,4.0,0
2015-10-17,West Brom,1,0,8,1,1,12,2,0,Sunderland,0,0,9,2,5,13,2,0,M Atkinson,H,D,8.0,3.0,16.0,19.0,2
