Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2023-08-11,Burnley,0,0,6,1,6,11,0,1,Man City,3,2,17,8,5,8,0,0,C Pawson,A,A,9.02,5.35,1.35,1.71,2.4,1.65,2.27,1.85,2.03,0.0,0.0,6.0,13.0,0
2023-08-12,Arsenal,2,2,15,7,8,12,2,0,Nott'm Forest,1,0,6,2,3,12,2,0,M Oliver,H,H,1.18,7.64,15.67,1.45,2.98,1.42,2.85,1.87,1.99,0.0,0.0,2.0,15.0,2
2023-08-12,Bournemouth,1,0,14,5,10,9,1,0,West Ham,1,0,16,3,4,14,4,0,P Bankes,D,D,2.69,3.44,2.64,1.95,2.03,1.88,1.94,1.94,1.92,0.0,0.0,4.0,17.0,1
2023-08-12,Brighton,4,1,27,12,6,11,2,0,Luton,1,0,9,3,7,12,2,0,D Coote,H,H,1.33,5.52,9.61,1.65,2.45,1.61,2.34,1.93,1.93,0.0,0.0,7.0,13.0,2
2023-08-12,Everton,0,0,19,9,10,12,0,0,Fulham,1,0,9,2,4,6,2,0,S Attwell,A,D,2.24,3.43,3.3,2.04,1.92,1.97,1.86,1.92,1.93,0.0,0.0,10.0,11.0,0
2023-08-12,Sheffield United,0,0,8,1,5,18,3,0,Crystal Palace,1,0,24,8,5,11,0,0,J Brooks,A,D,3.12,3.24,2.41,2.28,1.74,2.21,1.68,1.81,2.05,0.0,0.0,14.0,10.0,0
2023-08-12,Newcastle,5,2,17,13,6,12,4,0,Aston Villa,1,1,16,6,5,17,4,0,A Madley,H,H,1.76,3.88,4.61,1.82,2.15,1.76,2.09,1.97,1.89,0.0,0.0,13.0,8.0,2
2023-08-13,Brentford,2,2,11,6,3,12,1,0,Tottenham,2,2,18,6,6,13,4,0,R Jones,D,D,2.73,3.63,2.5,1.76,2.25,1.7,2.18,2.01,1.86,0.0,0.0,9.0,13.0,1
2023-08-13,Chelsea,1,1,10,4,4,5,3,0,Liverpool,1,1,13,1,4,12,3,0,A Taylor,D,D,2.87,3.64,2.39,1.73,2.36,1.67,2.24,1.81,2.04,0.0,0.0,11.0,12.0,1
2023-08-14,Man United,1,0,15,3,8,14,2,0,Wolves,0,0,23,6,7,10,3,0,S Hooper,H,D,1.31,5.65,9.85,1.64,2.47,1.6,2.38,1.89,1.97,0.0,0.0,13.0,14.0,2
2023-08-18,Nott'm Forest,2,1,16,4,6,5,2,0,Sheffield United,1,0,7,3,7,9,3,0,P Bankes,H,H,1.95,3.43,4.25,2.33,1.73,2.24,1.67,1.96,1.91,0.0,0.0,14.0,16.0,2
2023-08-19,Fulham,0,0,10,2,5,13,2,1,Brentford,3,1,17,8,5,12,2,0,D Bond,A,A,2.72,3.4,2.63,2.01,1.97,1.93,1.9,1.96,1.9,3.0,1.0,6.0,9.0,0
2023-08-19,Liverpool,3,2,26,10,10,11,1,1,Bournemouth,1,1,13,5,2,13,3,0,T Bramall,H,H,1.23,6.86,11.82,1.37,3.4,1.35,3.21,2.02,1.85,1.0,1.0,13.0,11.0,2
2023-08-19,Wolves,1,0,16,5,5,14,3,1,Brighton,4,1,16,8,3,11,6,0,A Madley,A,A,4.0,3.81,1.89,1.8,2.18,1.74,2.12,1.99,1.87,0.0,3.0,16.0,4.0,0
2023-08-19,Tottenham,2,0,17,6,5,9,1,0,Man United,0,0,22,6,6,8,3,0,M Oliver,H,D,2.84,3.75,2.37,1.64,2.55,1.57,2.44,1.81,2.05,1.0,3.0,11.0,8.0,2
2023-08-19,Man City,1,1,14,4,3,12,1,0,Newcastle,0,0,7,1,0,11,5,0,R Jones,H,H,1.7,4.07,4.83,1.76,2.26,1.72,2.15,1.88,1.97,3.0,3.0,6.0,5.0,2
2023-08-20,Aston Villa,4,2,13,7,7,8,3,0,Everton,0,0,9,2,6,12,4,0,A Taylor,H,H,1.7,3.91,5.0,1.96,2.02,1.89,1.94,1.89,1.96,0.0,0.0,19.0,15.0,2
2023-08-20,West Ham,3,1,12,6,3,12,2,1,Chelsea,1,1,17,4,9,9,3,0,J Brooks,H,D,3.66,3.57,2.04,1.98,2.0,1.92,1.91,1.82,2.06,1.0,1.0,14.0,13.0,2
2023-08-21,Crystal Palace,0,0,14,2,1,14,2,0,Arsenal,1,0,14,3,8,10,1,1,D Coote,A,D,5.79,4.06,1.6,2.0,1.97,1.92,1.9,1.82,2.05,3.0,3.0,9.0,8.0,0
2023-08-25,Chelsea,3,1,19,8,6,15,2,0,Luton,0,0,11,1,4,12,3,0,R Jones,H,H,1.29,5.86,10.78,1.71,2.42,1.66,2.27,1.89,1.98,1.0,0.0,15.0,17.0,2
2023-08-26,Brighton,1,0,25,10,17,10,1,0,West Ham,3,1,12,3,4,9,3,0,A Taylor,A,A,1.53,4.67,5.73,1.52,2.73,1.49,2.63,1.85,2.01,6.0,4.0,1.0,7.0,0
2023-08-26,Man United,3,1,18,9,11,13,4,0,Nott'm Forest,2,2,9,4,3,11,4,1,S Attwell,H,A,1.31,5.79,9.23,1.55,2.63,1.52,2.56,1.88,1.98,3.0,3.0,13.0,11.0,2
2023-08-26,Everton,0,0,15,7,7,10,3,0,Wolves,1,0,11,2,0,14,4,0,C Pawson,A,D,2.32,3.31,3.24,2.2,1.8,2.12,1.74,1.98,1.87,0.0,0.0,19.0,18.0,0
2023-08-26,Arsenal,2,0,19,11,8,6,0,0,Fulham,2,1,8,3,3,5,3,1,P Tierney,D,A,1.23,6.49,13.35,1.53,2.8,1.48,2.67,1.84,2.03,6.0,3.0,4.0,14.0,1
2023-08-26,Bournemouth,0,0,11,3,6,18,1,0,Tottenham,2,1,17,6,2,11,3,0,T Robinson,A,A,3.67,3.94,1.95,1.59,2.6,1.55,2.47,1.93,1.94,1.0,4.0,16.0,8.0,0
2023-08-26,Brentford,1,1,12,1,8,9,0,0,Crystal Palace,1,0,15,5,6,15,0,0,P Bankes,D,H,2.14,3.41,3.57,2.21,1.78,2.13,1.74,1.84,2.02,4.0,3.0,7.0,13.0,1
2023-08-27,Burnley,1,0,9,2,4,12,2,0,Aston Villa,3,2,16,6,6,11,0,0,M Salisbury,A,A,3.36,3.55,2.16,1.92,2.06,1.85,1.99,1.99,1.85,0.0,3.0,18.0,13.0,0
2023-08-27,Sheffield United,1,0,6,2,1,11,3,0,Man City,2,0,30,9,12,2,0,0,J Gillett,A,D,16.67,7.51,1.18,1.62,2.5,1.57,2.41,1.92,1.94,0.0,6.0,17.0,5.0,0
