Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,SeasonInt
Argentina,Copa De La Liga Profesional,2020,30/10/2020,22:00,Gimnasia L.P.,Patronato,3,0,H,1.91,3.16,4.83,1.98,3.4,4.95,1.9,3.15,4.95,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,31/10/2020,00:15,Talleres Cordoba,Newells Old Boys,3,1,H,3.14,3.18,2.43,3.14,3.18,2.6,2.84,2.99,2.45,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,31/10/2020,17:00,Aldosivi,Estudiantes L.P.,0,0,D,3.68,2.93,2.19,3.68,3.15,2.3,3.36,2.94,2.22,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,31/10/2020,19:15,Velez Sarsfield,Huracan,1,1,D,1.78,3.31,5.45,1.8,3.4,6.0,1.7,3.23,5.25,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,31/10/2020,21:45,Argentinos Jrs,San Lorenzo,0,0,D,2.62,2.93,3.12,2.69,3.0,3.12,2.52,2.89,2.89,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,01/11/2020,00:15,Lanus,Boca Juniors,1,2,A,5.98,4.18,1.55,6.25,4.28,1.75,5.38,3.88,1.56,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,01/11/2020,14:00,Defensa y Justicia,Colon Santa FE,0,3,A,1.84,3.52,4.55,1.91,3.55,4.55,1.82,3.39,4.11,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,01/11/2020,17:00,Union de Santa Fe,Arsenal Sarandi,0,0,D,3.13,2.95,2.6,3.13,3.1,2.6,2.86,2.94,2.51,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,01/11/2020,19:15,Racing Club,Atl. Tucuman,1,4,A,1.44,4.45,7.54,1.46,4.45,8.5,1.42,4.16,7.18,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,01/11/2020,21:45,Central Cordoba,Independiente,0,1,A,2.88,2.91,2.83,2.88,3.1,2.85,2.72,2.93,2.67,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,03/11/2020,00:15,Rosario Central,Godoy Cruz,2,1,H,1.81,3.66,4.49,1.85,3.72,4.5,1.8,3.47,4.12,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,04/11/2020,00:00,River Plate,Banfield,1,3,A,1.32,4.87,11.52,1.38,5.1,13.0,1.33,4.66,9.49,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,06/11/2020,22:00,Patronato,Huracan,1,2,A,2.37,3.04,3.4,2.52,3.1,3.54,2.32,2.91,3.25,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,07/11/2020,00:15,Argentinos Jrs,Aldosivi,0,1,A,1.66,3.53,6.13,1.7,3.75,6.35,1.63,3.45,5.67,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,07/11/2020,19:00,Banfield,Godoy Cruz,1,0,H,1.79,3.66,4.61,1.9,3.75,4.97,1.75,3.51,4.48,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,07/11/2020,21:30,San Lorenzo,Estudiantes L.P.,2,0,H,3.01,2.94,2.7,3.09,3.17,2.94,2.78,2.9,2.66,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,08/11/2020,00:15,River Plate,Rosario Central,2,1,H,1.45,4.22,7.95,1.51,4.54,7.96,1.44,4.21,6.76,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,08/11/2020,14:00,Arsenal Sarandi,Atl. Tucuman,1,2,A,,,,2.37,3.4,3.54,2.17,3.2,3.25,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,08/11/2020,19:15,Gimnasia L.P.,Velez Sarsfield,2,2,D,,,,3.27,3.1,2.75,3.01,2.92,2.46,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,08/11/2020,21:45,Union de Santa Fe,Racing Club,2,0,H,3.97,3.28,2.04,4.04,3.49,2.23,3.43,3.12,2.14,,,,,,,2020.0
Argentina,Copa De La Liga Profesional,2020,09/11/2020,00:15,Newells Old Boys,Boca Juniors,0,2,A,4.58,3.44,1.85,4.78,3.74,1.87,4.33,3.34,1.82,,,,,,,2020.0
