Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2016-08-26,Bayern Munich,6,2,27,14,8,7,0,0,Werder Bremen,0,0,4,2,1,8,1,0,H,H,0.0,0.0,2.0,17.0,2
2016-08-27,Augsburg,0,0,13,2,2,15,1,0,Wolfsburg,2,1,12,6,3,17,2,0,A,A,0.0,0.0,2.0,17.0,0
2016-08-27,Dortmund,2,1,17,8,7,3,0,0,Mainz,1,0,12,4,2,20,3,0,H,H,0.0,0.0,4.0,14.0,2
2016-08-27,Ein Frankfurt,1,1,11,4,7,11,2,1,Schalke 04,0,0,11,3,5,15,2,0,H,H,0.0,0.0,5.0,15.0,2
2016-08-27,FC Koln,2,1,21,8,6,11,3,0,Darmstadt,0,0,12,3,5,15,3,0,H,H,0.0,0.0,6.0,5.0,2
2016-08-27,Hamburg,1,1,8,1,4,17,2,0,Ingolstadt,1,0,13,5,5,15,2,0,D,H,0.0,0.0,7.0,10.0,1
2016-08-27,M'gladbach,2,1,14,9,7,11,3,0,Leverkusen,1,0,12,6,3,16,3,0,H,H,0.0,0.0,12.0,11.0,2
2016-08-28,Hertha,2,0,15,5,5,10,0,0,Freiburg,1,0,8,2,2,10,3,0,H,D,0.0,0.0,10.0,9.0,2
2016-08-28,Hoffenheim,2,0,11,5,2,12,2,0,RB Leipzig,2,0,23,9,9,14,4,0,D,D,0.0,0.0,10.0,11.0,1
2016-09-09,Schalke 04,0,0,9,2,2,13,2,0,Bayern Munich,2,0,18,2,7,12,4,0,A,D,0.0,3.0,15.0,1.0,0
2016-09-10,Wolfsburg,0,0,18,4,8,13,2,0,FC Koln,0,0,16,9,4,14,3,0,D,D,3.0,3.0,3.0,2.0,1
2016-09-10,RB Leipzig,1,0,10,4,5,16,2,0,Dortmund,0,0,8,1,7,10,2,0,H,D,1.0,3.0,9.0,4.0,2
2016-09-10,Leverkusen,3,0,15,5,4,13,2,0,Hamburg,1,0,6,2,1,20,1,0,H,D,0.0,1.0,13.0,10.0,2
2016-09-10,Darmstadt,1,0,8,1,1,16,1,0,Ein Frankfurt,0,0,14,3,4,13,2,0,H,D,0.0,3.0,16.0,8.0,2
2016-09-10,Freiburg,3,0,17,7,3,17,2,0,M'gladbach,1,1,5,2,4,11,2,0,H,A,0.0,3.0,14.0,7.0,2
2016-09-10,Ingolstadt,0,0,12,5,6,13,3,0,Hertha,2,1,7,6,1,20,1,0,A,A,1.0,3.0,13.0,7.0,0
2016-09-11,Mainz,4,4,12,6,8,19,1,1,Hoffenheim,4,1,20,5,5,16,3,0,D,H,0.0,1.0,15.0,12.0,1
2016-09-11,Werder Bremen,1,1,10,1,0,14,2,0,Augsburg,2,0,18,5,4,28,3,0,A,H,0.0,0.0,18.0,16.0,0
2016-09-16,FC Koln,3,3,9,3,4,12,1,0,Freiburg,0,0,17,8,6,10,1,0,H,H,4.0,3.0,3.0,6.0,2
2016-09-17,Hoffenheim,0,0,20,5,3,17,2,0,Wolfsburg,0,0,20,9,11,18,1,0,D,D,2.0,4.0,13.0,4.0,1
2016-09-17,M'gladbach,4,4,15,7,10,9,0,0,Werder Bremen,1,0,9,5,4,19,3,1,H,H,3.0,0.0,10.0,18.0,2
2016-09-17,Hamburg,0,0,14,2,8,17,5,0,RB Leipzig,4,0,12,6,3,13,1,0,A,D,1.0,4.0,15.0,6.0,0
2016-09-17,Bayern Munich,3,1,10,5,5,18,1,0,Ingolstadt,1,1,13,5,5,17,2,0,H,D,6.0,1.0,3.0,15.0,2
2016-09-17,Dortmund,6,1,22,14,12,8,0,0,Darmstadt,0,0,5,1,2,16,4,1,H,H,3.0,3.0,9.0,12.0,2
2016-09-17,Ein Frankfurt,2,0,17,8,1,22,3,0,Leverkusen,1,0,7,3,3,14,0,0,H,D,3.0,3.0,10.0,8.0,2
2016-09-18,Augsburg,1,0,12,5,2,15,1,0,Mainz,3,1,11,6,7,16,2,1,A,A,3.0,1.0,11.0,14.0,0
2016-09-18,Hertha,2,0,8,2,4,12,1,0,Schalke 04,0,0,11,4,6,17,1,0,H,D,6.0,0.0,5.0,17.0,2
2016-09-20,Darmstadt,1,0,12,3,2,16,1,0,Hoffenheim,1,0,15,4,6,18,1,0,D,D,3.0,3.0,14.0,10.0,1
2016-09-20,Freiburg,1,0,19,4,7,17,1,0,Hamburg,0,0,7,0,0,17,0,0,H,D,3.0,1.0,13.0,16.0,2
