Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2018-08-24,Bayern Munich,3,1,16,5,7,2,1,0,Hoffenheim,1,0,8,5,2,21,4,0,H,H,0.0,0.0,2.0,9.0,2
2018-08-25,Fortuna Dusseldorf,1,1,9,5,7,11,1,0,Augsburg,2,0,14,7,5,10,0,0,A,H,0.0,0.0,5.0,2.0,0
2018-08-25,Freiburg,0,0,22,6,6,7,1,0,Ein Frankfurt,2,1,10,2,4,12,2,0,A,A,0.0,0.0,5.0,4.0,0
2018-08-25,Hertha,1,1,10,3,8,13,2,0,Nurnberg,0,0,12,3,4,10,2,0,H,H,0.0,0.0,6.0,10.0,2
2018-08-25,M'gladbach,2,0,17,7,9,10,1,0,Leverkusen,0,0,13,3,5,10,2,0,H,D,0.0,0.0,8.0,7.0,2
2018-08-25,Werder Bremen,1,0,15,3,4,5,0,0,Hannover,1,0,13,4,3,6,0,0,D,D,0.0,0.0,12.0,7.0,1
2018-08-25,Wolfsburg,2,1,11,7,7,16,5,0,Schalke 04,1,0,9,4,2,11,3,1,H,H,0.0,0.0,13.0,11.0,2
2018-08-26,Mainz,1,0,8,3,6,15,1,0,Stuttgart,0,0,12,3,3,6,2,0,H,D,0.0,0.0,10.0,12.0,2
2018-08-26,Dortmund,4,3,10,5,7,8,2,0,RB Leipzig,1,1,10,7,9,11,2,0,H,H,0.0,0.0,10.0,11.0,2
2018-08-31,Hannover,0,0,7,0,4,11,0,0,Dortmund,0,0,8,3,1,5,0,0,D,D,1.0,3.0,9.0,1.0,1
2018-09-01,Augsburg,1,1,18,7,9,12,1,0,M'gladbach,1,0,7,2,4,12,2,0,D,H,3.0,3.0,5.0,4.0,1
2018-09-01,Ein Frankfurt,1,0,5,1,8,6,1,1,Werder Bremen,2,1,11,6,3,11,2,0,A,A,3.0,1.0,5.0,10.0,0
2018-09-01,Hoffenheim,3,0,20,7,6,13,1,0,Freiburg,1,1,9,4,4,14,2,0,H,A,0.0,0.0,15.0,16.0,2
2018-09-01,Leverkusen,1,1,16,3,5,13,3,0,Wolfsburg,3,1,12,5,3,13,3,0,A,D,0.0,3.0,16.0,7.0,0
2018-09-01,Nurnberg,1,0,19,4,5,10,2,0,Mainz,1,1,6,1,1,11,2,0,D,A,0.0,3.0,14.0,9.0,1
2018-09-01,Stuttgart,0,0,4,0,0,3,0,0,Bayern Munich,3,1,20,6,12,5,0,0,A,A,0.0,3.0,15.0,7.0,0
2018-09-02,RB Leipzig,1,0,23,7,3,11,1,0,Fortuna Dusseldorf,1,0,14,8,3,15,4,0,D,D,0.0,0.0,15.0,13.0,1
2018-09-02,Schalke 04,0,0,16,4,9,16,1,1,Hertha,2,1,5,3,0,15,1,0,A,A,0.0,3.0,15.0,9.0,0
2018-09-14,Dortmund,3,1,10,6,7,11,0,0,Ein Frankfurt,1,0,5,2,1,11,1,0,H,H,4.0,3.0,4.0,9.0,2
2018-09-15,Bayern Munich,3,2,18,5,9,4,0,0,Leverkusen,1,1,3,1,1,12,1,1,H,H,6.0,0.0,2.0,17.0,2
2018-09-15,Fortuna Dusseldorf,2,1,8,4,0,10,1,0,Hoffenheim,1,0,18,5,9,19,2,0,H,H,1.0,3.0,12.0,9.0,2
2018-09-15,Mainz,2,0,22,7,5,9,1,0,Augsburg,1,0,13,4,4,16,2,0,H,D,4.0,4.0,8.0,6.0,2
2018-09-15,M'gladbach,2,1,15,4,6,5,0,0,Schalke 04,1,0,15,6,6,12,4,0,H,H,4.0,0.0,6.0,15.0,2
2018-09-15,RB Leipzig,3,2,15,6,4,12,4,0,Hannover,2,1,16,8,12,12,4,0,H,H,1.0,2.0,14.0,12.0,2
2018-09-15,Wolfsburg,2,0,15,6,7,10,1,0,Hertha,2,0,9,5,2,13,2,0,D,D,6.0,6.0,5.0,6.0,1
2018-09-16,Freiburg,3,1,12,5,5,13,3,1,Stuttgart,3,1,11,6,8,11,4,0,D,D,0.0,0.0,16.0,17.0,1
2018-09-16,Werder Bremen,1,1,14,2,4,17,2,0,Nurnberg,1,0,11,2,7,5,0,0,D,H,4.0,1.0,7.0,14.0,1
2018-09-21,Stuttgart,0,0,10,1,2,8,0,0,Fortuna Dusseldorf,0,0,19,7,9,19,2,0,D,D,1.0,4.0,16.0,9.0,1
2018-09-22,Wolfsburg,1,0,17,9,7,12,0,0,Freiburg,3,2,12,8,7,17,3,0,A,A,7.0,1.0,3.0,16.0,0
2018-09-22,Schalke 04,0,0,10,2,0,12,2,0,Bayern Munich,2,1,14,7,8,11,1,0,A,A,0.0,9.0,17.0,1.0,0
2018-09-22,Nurnberg,2,0,14,6,9,16,3,0,Hannover,0,0,9,3,3,7,1,1,H,D,2.0,2.0,15.0,14.0,2
2018-09-22,Augsburg,2,1,21,7,7,10,2,0,Werder Bremen,3,2,12,7,4,11,2,0,A,A,4.0,5.0,10.0,8.0,0
2018-09-22,Hertha,4,2,16,7,8,9,2,0,M'gladbach,2,1,17,4,7,13,2,0,H,H,7.0,7.0,4.0,5.0,2
2018-09-22,Hoffenheim,1,1,17,5,4,12,2,0,Dortmund,1,0,8,2,4,10,1,1,D,H,3.0,7.0,13.0,4.0,1
2018-09-23,Ein Frankfurt,1,1,8,5,4,14,1,0,RB Leipzig,1,0,9,2,2,8,1,0,D,H,3.0,4.0,14.0,13.0,1
2018-09-23,Leverkusen,1,0,18,5,7,12,2,0,Mainz,0,0,12,5,4,13,2,0,H,D,0.0,7.0,17.0,5.0,2
2018-09-25,Werder Bremen,3,2,14,6,2,13,1,0,Hertha,1,0,12,2,3,9,3,0,H,H,8.0,10.0,4.0,2.0,2
2018-09-25,Hannover,1,0,17,8,8,12,2,0,Hoffenheim,3,1,17,9,5,13,2,0,A,A,2.0,4.0,16.0,12.0,0
2018-09-25,Freiburg,1,0,15,4,3,12,2,0,Schalke 04,0,0,15,3,3,11,4,0,H,D,4.0,0.0,14.0,18.0,2
2018-09-25,Bayern Munich,1,0,16,8,8,6,3,0,Augsburg,1,0,12,4,4,15,2,0,D,D,12.0,4.0,1.0,13.0,1
2018-09-26,Dortmund,7,2,19,10,4,6,0,0,Nurnberg,0,0,4,1,5,10,2,0,H,H,8.0,5.0,4.0,10.0,2
2018-09-26,Fortuna Dusseldorf,1,0,16,4,7,6,2,0,Leverkusen,2,0,6,3,5,12,2,0,A,D,5.0,3.0,10.0,15.0,0
2018-09-26,Mainz,0,0,11,2,5,13,1,0,Wolfsburg,0,0,12,4,11,15,2,0,D,D,7.0,7.0,8.0,6.0,1
2018-09-26,M'gladbach,3,0,21,9,9,7,0,0,Ein Frankfurt,1,0,12,2,6,11,0,0,H,D,7.0,4.0,8.0,15.0,2
2018-09-26,RB Leipzig,2,1,18,8,4,11,2,0,Stuttgart,0,0,9,0,2,8,3,0,H,H,5.0,2.0,13.0,16.0,2
2018-09-28,Hertha,2,2,6,4,1,14,3,0,Bayern Munich,0,0,25,5,14,10,1,0,H,H,10.0,13.0,4.0,1.0,2
2018-09-29,Wolfsburg,2,1,13,3,6,6,2,0,M'gladbach,2,1,10,3,3,14,2,0,D,D,8.0,10.0,6.0,5.0,1
2018-09-29,Stuttgart,2,1,18,5,6,15,3,0,Werder Bremen,1,0,14,3,8,14,4,1,H,H,2.0,11.0,17.0,4.0,2
2018-09-29,Schalke 04,1,1,15,2,4,22,2,0,Mainz,0,0,15,5,5,21,2,0,H,H,0.0,8.0,18.0,7.0,2
2018-09-29,Leverkusen,2,2,14,6,6,11,1,0,Dortmund,4,0,16,10,8,12,1,0,A,H,6.0,11.0,11.0,3.0,0
2018-09-29,Hoffenheim,1,0,13,6,4,4,1,0,RB Leipzig,2,0,18,7,8,14,3,0,A,D,7.0,8.0,9.0,7.0,0
2018-09-29,Nurnberg,3,1,10,6,4,10,0,0,Fortuna Dusseldorf,0,0,13,4,4,9,2,0,H,H,5.0,5.0,15.0,13.0,2
2018-09-30,Augsburg,4,2,21,10,5,12,0,0,Freiburg,1,0,13,6,3,8,1,0,H,H,5.0,7.0,13.0,11.0,2
2018-09-30,Ein Frankfurt,4,2,15,7,3,16,1,0,Hannover,1,0,4,1,4,11,2,0,H,H,4.0,2.0,16.0,18.0,2
2018-10-05,Werder Bremen,2,1,15,5,7,12,1,0,Wolfsburg,0,0,10,4,5,13,2,0,H,H,11.0,9.0,5.0,7.0,2
2018-10-06,Mainz,0,0,23,3,5,12,0,0,Hertha,0,0,11,1,6,9,2,0,D,D,8.0,13.0,9.0,4.0,1
2018-10-06,Hannover,3,2,15,6,5,16,1,0,Stuttgart,1,0,11,5,7,11,2,0,H,H,2.0,5.0,18.0,16.0,2
2018-10-06,Dortmund,4,0,20,8,9,5,1,0,Augsburg,3,1,12,6,6,29,7,0,H,A,14.0,8.0,1.0,9.0,2
2018-10-06,Bayern Munich,0,0,14,3,1,7,2,0,M'gladbach,3,2,7,3,3,4,2,0,A,A,13.0,11.0,4.0,5.0,0
2018-10-06,Fortuna Dusseldorf,0,0,9,3,4,17,3,0,Schalke 04,2,0,15,5,6,15,1,0,A,D,5.0,3.0,15.0,18.0,0
2018-10-07,Freiburg,0,0,7,1,3,11,3,0,Leverkusen,0,0,14,0,4,12,1,0,D,D,7.0,6.0,13.0,15.0,1
2018-10-07,Hoffenheim,1,0,20,4,6,15,2,0,Ein Frankfurt,2,1,6,4,0,16,4,1,A,A,7.0,7.0,13.0,12.0,0
2018-10-07,RB Leipzig,6,4,18,8,6,11,0,0,Nurnberg,0,0,3,0,1,12,1,1,H,H,11.0,8.0,6.0,11.0,2
2018-10-19,Ein Frankfurt,7,3,21,13,5,13,0,0,Fortuna Dusseldorf,1,0,10,5,1,12,2,0,H,H,10.0,5.0,7.0,17.0,2
2018-10-20,Nurnberg,1,1,7,2,1,8,4,0,Hoffenheim,3,0,20,12,7,9,2,0,A,H,8.0,7.0,12.0,13.0,0
2018-10-20,Augsburg,0,0,6,0,2,20,2,0,RB Leipzig,0,0,15,3,2,24,5,0,D,D,8.0,14.0,11.0,2.0,1
2018-10-20,Leverkusen,2,1,19,7,9,14,1,0,Hannover,2,1,9,7,5,18,5,1,D,D,7.0,5.0,14.0,16.0,1
2018-10-20,Schalke 04,0,0,14,4,3,13,1,0,Werder Bremen,2,1,8,3,1,9,4,0,A,A,6.0,14.0,15.0,4.0,0
2018-10-20,Stuttgart,0,0,13,5,10,7,0,0,Dortmund,4,3,12,4,2,5,0,0,A,A,5.0,17.0,17.0,1.0,0
2018-10-20,Wolfsburg,1,0,8,1,2,9,2,0,Bayern Munich,3,1,13,11,9,12,4,1,A,A,9.0,13.0,11.0,7.0,0
