Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2008-08-15,Bayern Munich,2,2,16,3,2,16,1,0,Hamburg,2,1,13,3,2,26,4,0,D,H,0.0,0.0,1.0,8.0,1
2008-08-16,Bielefeld,2,0,13,5,4,18,2,0,Werder Bremen,2,0,17,5,4,13,2,0,D,D,0.0,0.0,3.0,17.0,1
2008-08-16,Cottbus,0,0,14,1,4,21,2,0,Hoffenheim,3,1,17,8,2,32,2,0,A,A,0.0,0.0,6.0,12.0,0
2008-08-16,Karlsruhe,1,1,16,3,1,20,2,0,Bochum,0,0,12,1,4,22,4,0,H,H,0.0,0.0,12.0,6.0,2
2008-08-16,Leverkusen,2,1,19,9,7,13,3,0,Dortmund,3,2,11,4,3,20,2,0,A,A,0.0,0.0,12.0,7.0,0
2008-08-16,Schalke 04,3,2,11,5,6,19,1,0,Hannover,0,0,11,4,7,17,2,0,H,H,0.0,0.0,13.0,10.0,2
2008-08-16,Wolfsburg,2,0,17,9,10,10,0,0,FC Koln,1,1,4,2,3,13,2,0,H,A,0.0,0.0,14.0,10.0,2
2008-08-17,M'gladbach,1,0,14,6,4,20,3,0,Stuttgart,3,3,20,6,3,15,2,0,A,A,0.0,0.0,12.0,13.0,0
2008-08-17,Ein Frankfurt,0,0,18,1,11,7,0,0,Hertha,2,1,5,4,2,19,1,0,A,A,0.0,0.0,11.0,12.0,0
2008-08-22,Hannover,0,0,13,6,6,17,4,0,Cottbus,0,0,6,4,1,25,3,1,D,D,0.0,0.0,18.0,17.0,1
2008-08-23,Dortmund,1,1,16,6,6,24,2,0,Bayern Munich,1,0,16,3,14,17,3,1,D,H,3.0,1.0,5.0,8.0,1
2008-08-23,Hamburg,2,1,12,3,6,17,2,0,Karlsruhe,1,0,10,5,6,18,3,0,H,H,1.0,3.0,10.0,7.0,2
2008-08-23,Hertha,1,1,27,5,11,8,1,0,Bielefeld,1,1,6,2,3,19,3,0,D,D,3.0,1.0,6.0,10.0,1
2008-08-23,Hoffenheim,1,1,24,10,11,17,1,0,M'gladbach,0,0,7,2,2,27,4,0,H,H,3.0,0.0,4.0,17.0,2
2008-08-23,Stuttgart,0,0,9,1,3,10,1,0,Leverkusen,2,1,16,7,7,23,4,0,A,A,3.0,0.0,6.0,14.0,0
2008-08-23,Werder Bremen,1,0,15,7,5,17,0,0,Schalke 04,1,0,14,5,6,12,1,0,D,D,1.0,3.0,12.0,5.0,1
2008-08-24,Bochum,2,1,9,3,3,22,2,0,Wolfsburg,2,0,18,6,6,22,5,0,D,H,0.0,3.0,16.0,7.0,1
2008-08-24,FC Koln,1,1,7,2,0,20,4,0,Ein Frankfurt,1,0,9,1,2,19,2,0,D,H,0.0,0.0,16.0,17.0,1
2008-08-29,Karlsruhe,0,0,12,2,3,13,1,0,FC Koln,2,0,10,3,5,14,0,0,A,D,3.0,1.0,9.0,14.0,0
2008-08-30,Bielefeld,2,2,14,7,4,13,2,0,Hamburg,4,1,19,5,4,21,2,0,A,H,2.0,4.0,12.0,6.0,0
2008-08-30,Cottbus,0,0,13,1,3,20,1,0,Dortmund,1,1,15,4,4,15,1,0,A,A,1.0,4.0,16.0,5.0,0
2008-08-30,Leverkusen,5,3,16,8,7,14,0,0,Hoffenheim,2,1,12,3,3,22,2,0,H,H,3.0,6.0,8.0,3.0,2
2008-08-30,M'gladbach,3,2,13,6,5,16,2,0,Werder Bremen,2,0,25,14,7,14,4,0,H,H,0.0,2.0,18.0,12.0,2
2008-08-30,Schalke 04,1,1,20,6,7,11,0,0,Bochum,0,0,10,2,9,27,1,1,H,H,4.0,1.0,5.0,15.0,2
2008-08-30,Wolfsburg,2,1,15,4,6,28,2,0,Ein Frankfurt,2,1,14,4,4,20,2,0,D,D,4.0,1.0,8.0,16.0,1
2008-08-31,Bayern Munich,4,1,19,8,11,19,0,0,Hertha,1,0,9,3,1,16,3,0,H,H,2.0,4.0,12.0,7.0,2
2008-08-31,Stuttgart,2,2,14,7,4,13,1,0,Hannover,0,0,12,5,6,19,1,0,H,H,3.0,1.0,10.0,17.0,2
2008-09-13,Werder Bremen,3,0,25,8,8,17,0,0,Cottbus,0,0,6,2,2,31,2,0,H,D,2.0,1.0,13.0,17.0,2
2008-09-13,Hoffenheim,0,0,18,6,7,16,4,0,Stuttgart,0,0,16,4,3,24,4,0,D,D,6.0,6.0,6.0,5.0,1
2008-09-13,Hertha,2,0,13,5,4,17,2,0,Wolfsburg,2,1,13,5,5,17,0,0,D,A,4.0,5.0,11.0,9.0,1
2008-09-13,FC Koln,0,0,7,2,3,13,1,0,Bayern Munich,3,0,11,4,5,19,0,0,A,D,4.0,5.0,11.0,8.0,0
2008-09-13,Dortmund,3,0,17,6,5,21,3,0,Schalke 04,3,2,9,4,0,19,1,2,D,A,7.0,7.0,4.0,2.0,1
2008-09-13,Hamburg,3,1,16,5,13,11,2,0,Leverkusen,2,2,11,2,2,20,1,1,H,A,7.0,6.0,4.0,7.0,2
2008-09-14,Bochum,2,2,18,6,5,22,2,0,Bielefeld,0,0,11,2,5,16,0,0,H,H,1.0,2.0,16.0,14.0,2
2008-09-14,Hannover,5,2,15,7,5,16,3,0,M'gladbach,1,0,9,5,3,16,4,0,H,H,1.0,3.0,17.0,13.0,2
2008-09-19,Leverkusen,4,2,20,12,8,17,0,0,Hannover,0,0,4,0,1,12,3,0,H,H,6.0,4.0,7.0,12.0,2
2008-09-20,Schalke 04,1,1,22,6,11,17,0,0,Ein Frankfurt,0,0,8,3,3,17,3,1,H,H,8.0,2.0,4.0,16.0,2
2008-09-20,M'gladbach,0,0,15,4,12,12,0,0,Hertha,1,1,11,4,2,20,2,0,A,A,3.0,5.0,15.0,10.0,0
2008-09-20,Bielefeld,2,0,14,5,2,14,0,0,FC Koln,0,0,9,1,7,24,3,0,H,D,2.0,4.0,17.0,12.0,2
2008-09-20,Cottbus,1,1,8,4,8,22,2,0,Bochum,1,0,14,7,8,26,4,0,D,H,1.0,4.0,18.0,12.0,1
2008-09-20,Bayern Munich,2,0,22,7,8,18,1,0,Werder Bremen,5,2,10,5,2,17,2,0,A,A,8.0,5.0,4.0,10.0,0
2008-09-21,Hoffenheim,4,2,18,10,1,15,0,0,Dortmund,1,0,10,3,7,23,1,0,H,H,7.0,8.0,9.0,6.0,2
2008-09-21,Stuttgart,3,1,15,7,2,18,2,0,Karlsruhe,1,1,8,1,6,19,3,0,H,D,7.0,3.0,9.0,15.0,2
2008-09-21,Wolfsburg,3,3,6,4,2,20,2,0,Hamburg,0,0,11,1,5,23,3,0,H,H,6.0,10.0,10.0,2.0,2
2008-09-26,FC Koln,1,1,19,7,6,15,2,0,Schalke 04,0,0,6,0,6,17,3,0,H,H,4.0,11.0,13.0,1.0,2
2008-09-27,Werder Bremen,5,4,15,7,5,23,0,1,Hoffenheim,4,2,21,7,7,19,1,0,H,H,8.0,10.0,7.0,2.0,2
2008-09-27,Hertha,0,0,19,8,7,18,1,0,Cottbus,1,1,9,4,2,21,3,0,A,A,8.0,2.0,9.0,18.0,0
