Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2007-08-11,Barnsley,1,1,7,3,5,10,0,0,Coventry,4,1,14,12,6,21,2,0,S Mathieson,A,D,0.0,0.0,1.0,8.0,0
2007-08-11,Wolves,1,1,10,5,3,14,0,0,Watford,2,0,10,4,10,11,1,0,N Swarbrick,A,H,0.0,0.0,23.0,21.0,0
2007-08-11,Southampton,1,1,16,9,8,11,3,0,Crystal Palace,4,2,9,7,6,20,0,0,L Probert,A,A,0.0,0.0,20.0,9.0,0
2007-08-11,Sheffield United,2,0,13,10,9,18,1,0,Colchester,2,0,5,3,6,7,0,0,M Jones,D,D,0.0,0.0,18.0,9.0,1
2007-08-11,Leicester,0,0,21,9,9,10,0,0,Blackpool,1,0,14,6,3,6,0,0,A D'Urso,A,D,0.0,0.0,13.0,6.0,0
2007-08-11,Ipswich,4,3,12,8,3,8,0,0,Sheffield Weds,1,0,10,3,3,8,2,0,R Beeby,H,H,0.0,0.0,12.0,18.0,2
2007-08-11,Preston,0,0,12,6,15,16,2,0,Norwich,0,0,8,3,0,14,2,0,P Taylor,D,D,0.0,0.0,15.0,13.0,1
2007-08-11,Charlton,1,0,13,4,7,10,1,0,Scunthorpe,1,0,6,3,7,15,1,0,T Kettle,D,D,0.0,0.0,13.0,17.0,1
2007-08-11,Cardiff,0,0,13,10,12,10,3,0,Stoke,1,1,7,3,7,13,3,0,S Tanner,A,A,0.0,0.0,14.0,18.0,0
2007-08-11,Burnley,2,0,11,4,8,11,1,0,West Brom,1,1,13,10,11,12,1,0,E Ilderton,H,A,0.0,0.0,14.0,18.0,2
2007-08-11,Bristol City,2,1,17,8,4,12,0,0,QPR,2,1,13,5,7,18,3,0,K Stroud,D,D,0.0,0.0,14.0,17.0,1
2007-08-11,Hull,2,1,11,7,0,20,3,0,Plymouth,3,2,12,7,1,14,1,0,G Laws,A,A,0.0,0.0,16.0,17.0,0
2007-08-18,QPR,0,0,10,7,2,19,2,0,Cardiff,2,1,13,4,8,14,2,0,P Joslin,A,A,1.0,0.0,11.0,20.0,0
2007-08-18,West Brom,2,0,9,5,4,13,0,0,Preston,0,0,7,3,3,14,2,0,M Jones,H,D,0.0,1.0,19.0,16.0,2
2007-08-18,Watford,1,0,7,1,6,14,1,0,Sheffield United,0,0,3,2,7,10,0,0,A Marriner,H,D,3.0,1.0,8.0,13.0,2
2007-08-18,Stoke,2,0,11,4,10,19,2,0,Charlton,1,0,10,5,3,17,1,0,G Laws,H,D,3.0,1.0,10.0,13.0,2
2007-08-18,Plymouth,1,0,11,5,9,16,0,0,Ipswich,1,1,5,4,3,20,4,1,K Friend,D,A,3.0,3.0,6.0,5.0,1
2007-08-18,Scunthorpe,2,0,11,4,3,15,0,0,Burnley,0,0,13,4,13,16,2,0,A Bates,H,D,1.0,3.0,13.0,8.0,2
2007-08-18,Crystal Palace,2,1,5,4,6,9,0,0,Leicester,2,0,8,4,5,14,2,0,M Russell,D,H,3.0,0.0,7.0,21.0,1
2007-08-18,Coventry,1,0,12,6,7,14,0,0,Hull,1,0,10,4,2,17,2,1,B Knight,D,D,3.0,0.0,7.0,20.0,1
2007-08-18,Colchester,2,1,9,5,9,11,2,1,Barnsley,2,1,6,2,3,13,2,1,A Hall,D,D,1.0,0.0,13.0,22.0,1
2007-08-18,Blackpool,1,0,19,11,12,11,1,0,Bristol City,1,0,14,7,8,6,0,0,C Webster,D,D,3.0,1.0,10.0,13.0,1
2007-08-18,Norwich,2,0,9,5,3,13,3,0,Southampton,1,1,13,8,4,14,1,0,C Oliver,H,A,1.0,0.0,14.0,24.0,2
2007-08-19,Sheffield Weds,1,1,14,5,7,5,1,0,Wolves,3,1,4,3,5,12,3,0,P Walton,A,D,0.0,0.0,23.0,22.0,0
2007-08-25,Wolves,2,0,11,6,3,12,2,0,Blackpool,1,0,9,5,10,17,2,0,T Kettle,H,D,3.0,4.0,10.0,8.0,2
2007-08-25,Southampton,3,1,21,10,15,12,2,0,Stoke,2,1,7,5,5,20,4,0,R Beeby,H,D,0.0,6.0,23.0,2.0,2
2007-08-25,Sheffield United,1,1,7,3,10,19,2,0,West Brom,0,0,10,5,2,8,0,0,C Webster,H,H,1.0,3.0,20.0,11.0,2
2007-08-25,Preston,0,0,15,7,9,18,3,0,Colchester,3,1,7,3,6,9,1,0,S Tanner,A,A,1.0,2.0,22.0,16.0,0
2007-08-25,Leicester,4,1,15,11,1,17,6,0,Watford,1,0,10,4,5,18,5,0,A Taylor,H,H,1.0,6.0,20.0,2.0,2
2007-08-25,Hull,2,0,15,5,6,11,2,0,Norwich,1,0,11,4,4,8,0,0,N Miller,H,D,1.0,4.0,19.0,11.0,2
2007-08-25,Cardiff,0,0,13,7,3,12,0,0,Coventry,1,1,6,4,5,20,0,0,R Shoebridge,A,A,3.0,4.0,15.0,6.0,0
2007-08-25,Bristol City,2,2,9,3,7,11,3,0,Scunthorpe,1,1,11,8,2,14,2,0,M Jones,H,H,2.0,4.0,19.0,9.0,2
2007-08-25,Barnsley,3,2,10,6,2,10,2,0,Plymouth,2,0,10,6,6,14,2,0,B Knight,H,H,1.0,4.0,22.0,10.0,2
2007-08-25,Charlton,3,0,26,12,5,10,1,0,Sheffield Weds,2,2,10,5,5,17,2,0,K Friend,H,A,1.0,0.0,21.0,24.0,2
2007-08-26,Ipswich,1,0,11,6,2,10,0,0,Crystal Palace,0,0,11,4,5,13,2,0,A D'Urso,H,D,4.0,4.0,8.0,7.0,2
2007-09-01,Sheffield Weds,0,0,10,4,13,13,1,0,Bristol City,1,1,6,1,4,10,0,0,C Foy,A,A,0.0,5.0,24.0,7.0,0
2007-09-01,West Brom,2,2,15,6,8,12,1,0,Barnsley,0,0,8,2,1,15,3,0,G Laws,H,H,3.0,4.0,18.0,17.0,2
2007-09-01,Watford,2,1,15,6,1,11,1,0,Ipswich,0,0,5,0,6,10,1,0,M Jones,H,H,6.0,7.0,7.0,3.0,2
2007-09-01,Stoke,0,0,7,5,4,13,1,0,Wolves,0,0,11,5,13,15,1,0,L Mason,D,D,6.0,6.0,7.0,5.0,1
2007-09-01,Scunthorpe,3,1,14,5,5,16,1,1,Sheffield United,2,0,15,9,2,18,3,1,K Stroud,H,H,4.0,4.0,11.0,17.0,2
2007-09-01,Crystal Palace,0,0,9,3,6,10,1,0,Charlton,1,0,14,6,3,5,1,0,N Miller,A,D,4.0,4.0,10.0,13.0,0
2007-09-01,Plymouth,0,0,11,6,7,14,0,0,Leicester,0,0,8,2,4,18,2,0,P Taylor,D,D,4.0,4.0,13.0,11.0,1
2007-09-01,Norwich,1,1,14,7,8,11,0,0,Cardiff,2,0,12,8,8,13,1,0,C Penton,A,H,4.0,3.0,16.0,19.0,0
2007-09-01,QPR,0,0,9,2,2,6,2,0,Southampton,3,2,19,12,7,12,0,0,M Thorpe,A,A,1.0,3.0,22.0,21.0,0
2007-09-01,Coventry,2,0,17,7,5,12,1,0,Preston,1,1,4,2,1,14,1,0,A Taylor,H,A,7.0,1.0,3.0,23.0,2
2007-09-01,Colchester,2,1,7,4,9,5,0,0,Burnley,3,2,7,4,5,12,4,0,P Joslin,A,A,5.0,3.0,12.0,21.0,0
2007-09-03,Blackpool,2,0,17,11,9,13,3,0,Hull,1,0,16,9,6,21,1,0,K Friend,H,D,4.0,4.0,18.0,17.0,2
2007-09-15,Preston,1,1,17,7,6,10,2,0,Sheffield Weds,0,0,13,7,3,12,2,0,E Ilderton,H,H,1.0,0.0,23.0,24.0,2
2007-09-15,Plymouth,2,1,10,6,6,15,2,0,Cardiff,2,0,12,10,10,15,0,0,R Beeby,D,H,5.0,6.0,16.0,11.0,1
2007-09-15,Norwich,1,0,19,8,7,17,0,0,Crystal Palace,0,0,10,6,4,17,3,0,L Probert,H,D,4.0,4.0,20.0,17.0,2
2007-09-15,Leicester,1,0,11,6,5,12,1,0,QPR,1,0,8,6,4,15,1,0,L Mason,D,D,5.0,1.0,17.0,23.0,1
2007-09-15,Colchester,2,2,10,5,7,19,3,1,Charlton,2,1,10,6,4,11,1,0,M Russell,D,H,5.0,7.0,17.0,8.0,1
2007-09-15,Coventry,0,0,19,10,8,16,5,0,Bristol City,3,1,10,7,7,9,1,0,P Joslin,A,A,10.0,8.0,1.0,3.0,0
2007-09-15,Sheffield United,3,0,12,4,3,12,2,0,Wolves,1,1,14,5,2,15,0,0,C Oliver,H,A,4.0,7.0,20.0,7.0,2
2007-09-15,Burnley,2,0,12,6,5,11,0,0,Blackpool,2,0,8,5,10,6,0,0,M Dean,D,D,6.0,7.0,18.0,9.0,1
2007-09-15,Barnsley,2,1,8,5,5,11,1,0,Scunthorpe,0,0,8,4,6,17,1,0,N Miller,H,H,4.0,7.0,21.0,6.0,2
2007-09-15,Hull,1,0,20,8,13,16,1,0,Stoke,1,1,11,7,3,9,0,0,C Webster,D,A,4.0,7.0,21.0,9.0,1
2007-09-15,West Brom,4,1,15,6,9,10,1,0,Ipswich,0,0,18,10,9,14,2,0,J Moss,H,H,6.0,7.0,17.0,7.0,2
2007-09-16,Watford,3,1,13,10,7,8,3,0,Southampton,2,1,7,3,4,9,0,0,G Salisbury,H,D,9.0,6.0,4.0,19.0,2
2007-09-18,Blackpool,2,1,9,5,6,8,0,0,Sheffield United,2,1,17,8,9,5,0,0,M Halsey,D,D,8.0,7.0,6.0,8.0,1
2007-09-18,Stoke,0,0,6,0,13,8,2,0,Barnsley,0,0,7,0,1,6,1,0,N Swarbrick,D,D,8.0,7.0,8.0,14.0,1
2007-09-18,Sheffield Weds,0,0,12,4,3,13,2,0,Burnley,2,1,11,4,3,14,4,0,P Taylor,A,A,0.0,7.0,24.0,11.0,0
2007-09-18,Scunthorpe,2,1,17,13,8,20,1,0,Preston,1,1,16,9,4,14,0,1,R Beeby,H,D,7.0,4.0,12.0,22.0,2
2007-09-18,Wolves,0,0,9,5,5,10,1,0,Hull,1,0,12,6,5,14,1,0,M Jones,A,D,7.0,5.0,13.0,20.0,0
2007-09-18,Crystal Palace,1,1,10,6,8,10,1,0,Coventry,1,0,6,1,7,15,5,0,A Woolmer,D,H,4.0,10.0,21.0,4.0,1
2007-09-18,Charlton,2,0,20,11,10,8,2,0,Norwich,0,0,7,5,3,19,2,1,J Singh,H,D,8.0,7.0,10.0,14.0,2
2007-09-18,Bristol City,1,0,12,7,5,9,3,0,West Brom,1,0,22,17,6,3,1,0,T Kettle,D,D,11.0,9.0,2.0,7.0,1
2007-09-18,QPR,0,0,8,4,4,13,0,0,Plymouth,2,0,13,4,2,9,2,0,A Marriner,A,D,2.0,6.0,23.0,19.0,0
2007-09-19,Cardiff,1,0,14,9,6,8,1,0,Watford,2,1,8,6,7,15,0,0,L Probert,A,A,7.0,12.0,14.0,2.0,0
2007-09-19,Southampton,1,0,15,4,7,11,2,0,Colchester,1,0,7,4,2,14,2,0,A D'Urso,D,D,6.0,6.0,20.0,18.0,1
2007-09-22,Scunthorpe,2,1,11,4,5,14,3,0,West Brom,3,0,19,9,6,9,0,0,G Salisbury,A,H,10.0,10.0,7.0,5.0,0
2007-09-22,Wolves,2,2,18,7,16,16,2,0,Norwich,0,0,1,0,1,16,1,2,S Bennett,H,H,7.0,7.0,17.0,19.0,2
