Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2010-08-28,Portsmouth,0,0,7,2,4,9,1,0,Cardiff,2,1,6,1,8,12,0,0,A Penn,A,A,1.0,7.0,23.0,2.0,0
2010-08-28,Nott'm Forest,1,1,9,3,5,15,2,0,Norwich,1,1,12,6,4,11,0,0,S Mathieson,D,D,2.0,6.0,21.0,7.0,1
2010-08-28,Watford,0,0,13,8,6,18,1,0,Leeds,1,1,13,8,5,17,3,0,J Linington,A,A,5.0,4.0,10.0,11.0,0
2010-08-28,Leicester,1,0,15,10,11,8,1,0,Reading,2,1,11,5,5,10,0,0,C Webster,A,A,1.0,2.0,23.0,21.0,0
2010-08-28,Ipswich,2,0,17,6,5,4,0,0,Bristol City,0,0,8,4,2,6,1,0,M Russell,H,D,7.0,2.0,4.0,22.0,2
2010-08-28,Doncaster,3,2,11,7,4,9,0,0,Hull,1,1,7,6,3,9,4,0,L Mason,H,H,4.0,4.0,14.0,15.0,2
2010-08-28,Derby,2,1,9,7,7,11,1,0,QPR,2,0,10,5,4,10,1,0,M Haywood,D,H,3.0,9.0,18.0,3.0,1
2010-08-28,Barnsley,2,1,12,7,6,15,1,0,Middlesbrough,0,0,12,7,5,12,2,0,K Hill,H,H,4.0,4.0,16.0,15.0,2
2010-08-28,Millwall,3,1,18,9,5,10,1,0,Coventry,1,0,7,5,2,13,1,1,J Moss,H,H,6.0,7.0,10.0,4.0,2
2010-09-11,Watford,2,0,11,5,3,8,1,0,Doncaster,2,1,7,3,7,14,3,0,D Sheldrake,D,A,5.0,7.0,14.0,9.0,1
2010-09-11,Scunthorpe,0,0,21,11,10,7,2,0,Bristol City,2,1,9,6,7,11,2,0,A Haines,A,A,6.0,2.0,11.0,22.0,0
2010-09-11,Reading,3,1,13,4,9,18,2,0,Crystal Palace,0,0,5,2,5,12,4,0,K Hill,H,H,5.0,3.0,14.0,21.0,2
2010-09-11,QPR,3,0,22,12,7,6,0,0,Middlesbrough,0,0,8,3,4,6,1,0,M Russell,H,D,10.0,4.0,1.0,17.0,2
2010-09-11,Portsmouth,0,0,13,4,6,8,1,0,Ipswich,0,0,6,2,8,13,0,0,S Tanner,D,D,1.0,10.0,24.0,3.0,1
2010-09-11,Nott'm Forest,1,0,19,14,6,4,1,0,Millwall,1,1,12,6,2,14,3,0,N Miller,D,A,3.0,9.0,20.0,4.0,1
2010-09-11,Norwich,2,0,13,9,2,15,2,0,Barnsley,1,1,4,3,1,15,1,0,G Ward,H,A,7.0,7.0,9.0,11.0,2
2010-09-11,Derby,0,0,4,2,8,10,1,0,Sheffield United,1,1,14,7,3,13,1,0,P Crossley,A,A,4.0,4.0,16.0,18.0,0
2010-09-11,Coventry,1,1,5,1,2,8,3,0,Leicester,1,0,17,11,11,8,1,0,A Taylor,D,H,7.0,1.0,10.0,24.0,1
2010-09-11,Cardiff,2,1,12,5,1,4,0,0,Hull,0,0,7,3,3,9,0,0,O Langford,H,H,10.0,4.0,4.0,19.0,2
2010-09-11,Burnley,4,1,12,6,8,10,1,0,Preston,3,2,11,8,5,7,3,1,K Friend,H,A,7.0,3.0,9.0,21.0,2
2010-09-11,Leeds,2,0,14,7,4,14,2,0,Swansea,1,1,12,7,5,9,1,0,G Hegley,H,A,7.0,6.0,10.0,13.0,2
2010-09-14,Middlesbrough,2,0,13,9,6,6,0,0,Burnley,1,0,5,2,5,20,3,0,J Moss,H,D,4.0,10.0,20.0,5.0,2
2010-09-14,Swansea,2,1,15,8,1,12,2,0,Coventry,1,0,10,6,6,11,2,0,G Sutton,H,H,6.0,8.0,15.0,9.0,2
2010-09-14,Sheffield United,0,0,20,9,12,11,1,0,Scunthorpe,4,1,13,10,3,5,0,0,N Swarbrick,A,A,7.0,6.0,13.0,16.0,0
2010-09-14,Preston,1,1,11,7,6,12,1,0,Nott'm Forest,2,0,16,8,6,11,0,0,R Shoebridge,A,H,3.0,4.0,22.0,18.0,0
2010-09-14,Leicester,2,0,23,10,5,11,0,0,Cardiff,1,1,7,4,4,10,1,0,K Evans,H,A,2.0,13.0,23.0,2.0,2
2010-09-14,Millwall,0,0,19,10,11,16,2,0,Reading,0,0,9,7,6,15,3,0,D Phillips,D,D,10.0,8.0,4.0,10.0,1
2010-09-14,Hull,2,1,16,11,7,13,1,0,Derby,0,0,12,4,9,14,2,0,D Whitestone,H,H,4.0,4.0,21.0,20.0,2
2010-09-14,Barnsley,5,1,13,8,7,8,1,0,Leeds,2,1,12,7,9,13,3,0,S Tanner,H,D,7.0,10.0,14.0,6.0,2
2010-09-14,Bristol City,0,0,8,5,4,16,1,0,Watford,2,1,10,7,5,10,2,0,P Gibbs,A,A,5.0,6.0,19.0,18.0,0
2010-09-14,Ipswich,0,0,6,3,9,15,3,0,QPR,3,2,15,11,4,8,0,0,K Stroud,A,A,11.0,13.0,4.0,1.0,0
2010-09-14,Doncaster,3,1,14,10,0,11,0,0,Norwich,1,0,8,5,4,7,2,0,E Ilderton,H,H,8.0,10.0,14.0,6.0,2
2010-09-14,Crystal Palace,4,1,16,9,4,12,2,0,Portsmouth,1,1,18,10,5,5,0,0,P Walton,H,D,3.0,2.0,22.0,24.0,2
2010-09-17,Doncaster,0,0,8,3,5,7,0,0,Leeds,0,0,12,6,7,12,1,0,A Woolmer,D,D,11.0,10.0,4.0,9.0,1
2010-09-18,Swansea,2,0,17,10,7,9,3,0,Scunthorpe,0,0,6,3,3,11,1,0,D McDermid,H,D,9.0,9.0,13.0,10.0,2
2010-09-18,Sheffield United,1,0,6,4,2,16,2,0,Portsmouth,0,0,15,9,5,10,2,0,G Hegley,H,D,7.0,2.0,18.0,24.0,2
2010-09-18,Preston,0,0,14,6,7,15,2,0,Norwich,1,0,15,4,8,8,0,0,C Webster,A,D,3.0,10.0,23.0,10.0,0
2010-09-18,Millwall,1,0,6,4,6,7,2,0,Watford,6,3,10,8,9,4,2,0,R Shoebridge,A,A,11.0,9.0,6.0,13.0,0
2010-09-18,Leicester,0,0,20,10,3,11,2,0,QPR,2,1,8,6,3,11,2,0,G Scott,A,A,5.0,16.0,20.0,1.0,0
2010-09-18,Middlesbrough,3,2,17,11,8,21,2,0,Reading,1,1,5,2,6,14,1,1,G Salisbury,H,H,7.0,9.0,18.0,13.0,2
2010-09-18,Hull,0,0,12,6,3,9,2,0,Nott'm Forest,0,0,12,5,9,6,0,0,M Halsey,D,D,7.0,7.0,18.0,17.0,1
2010-09-18,Crystal Palace,0,0,11,5,2,8,2,0,Burnley,0,0,14,9,8,12,4,0,J Linnington,D,D,6.0,10.0,19.0,10.0,1
2010-09-18,Bristol City,1,1,9,6,8,10,0,0,Coventry,2,2,11,8,7,18,3,0,I Williamson,A,A,5.0,8.0,20.0,16.0,0
2010-09-18,Barnsley,1,0,12,7,5,9,1,0,Derby,1,1,8,2,7,11,2,0,D Webb,D,A,10.0,4.0,12.0,22.0,1
2010-09-18,Ipswich,2,0,14,7,4,9,1,0,Cardiff,0,0,6,3,6,5,1,0,F Graham,H,D,11.0,13.0,9.0,2.0,2
2010-09-24,Portsmouth,6,2,19,13,8,19,3,0,Leicester,1,0,11,3,4,11,4,1,K Hill,H,H,2.0,5.0,24.0,22.0,2
2010-09-25,QPR,3,0,6,2,4,6,0,0,Doncaster,0,0,11,5,7,8,2,0,R East,H,D,19.0,12.0,1.0,7.0,2
2010-09-25,Watford,3,3,7,4,4,16,2,0,Middlesbrough,1,0,12,7,4,10,0,0,F Graham,H,H,12.0,10.0,5.0,13.0,2
2010-09-25,Scunthorpe,1,1,17,11,12,5,1,0,Ipswich,1,0,12,6,9,4,0,0,M Haywood,D,H,9.0,14.0,16.0,3.0,1
2010-09-25,Reading,3,0,21,14,22,16,4,1,Barnsley,0,0,10,5,2,17,3,0,P Miller,H,D,9.0,11.0,16.0,10.0,2
2010-09-25,Nott'm Forest,3,1,9,6,8,15,3,0,Swansea,1,0,5,3,2,11,2,0,N Swarbrick,H,H,8.0,12.0,17.0,7.0,2
