Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-08-23,Wrexham,2,2,11,4,3,7,0,0,Sheffield Weds,2,0,21,7,9,8,0,0,F Hallam,D,H,1.56,4.16,5.59,1.82,2.01,1.77,1.97,1.9,1.82,0.0,0.0,20.0,23.0,1
2025-08-23,West Brom,1,1,13,3,2,10,2,0,Portsmouth,1,0,8,4,3,16,5,0,E Bell,D,H,1.78,3.64,4.43,2.03,1.83,1.97,1.77,1.97,1.73,6.0,3.0,3.0,14.0,1
2025-08-23,Southampton,1,0,18,2,7,6,1,0,Stoke,2,0,12,4,3,12,3,1,J Smith,A,D,1.73,3.77,4.61,2.0,1.91,1.93,1.82,1.89,1.79,4.0,6.0,10.0,2.0,0
2025-08-23,Norwich,1,0,14,3,5,11,0,1,Middlesbrough,2,2,11,4,3,14,3,0,L Doughty,A,A,2.24,3.45,3.08,1.93,1.93,1.88,1.86,1.85,1.82,3.0,6.0,14.0,3.0,0
2025-08-23,Preston,1,1,2,1,3,14,6,0,Ipswich,0,0,15,2,6,5,2,0,M Donohue,H,H,3.68,3.39,2.03,2.1,1.73,2.08,1.7,1.76,1.98,4.0,2.0,9.0,17.0,2
2025-08-23,Birmingham,1,1,16,1,4,11,0,0,Oxford,0,0,6,1,1,17,0,0,R Jones,H,H,1.46,4.34,6.86,1.95,1.93,1.87,1.87,1.97,1.72,4.0,0.0,8.0,22.0,2
2025-08-23,Swansea,1,0,11,2,7,11,3,0,Watford,1,1,9,4,2,17,5,0,S Martin,D,A,2.03,3.37,3.68,2.25,1.67,2.17,1.64,1.99,1.77,3.0,3.0,15.0,14.0,1
2025-08-23,Hull,0,0,8,2,2,18,3,0,Blackburn,3,1,14,6,1,19,3,0,T Nield,A,A,2.35,3.19,3.08,2.48,1.62,2.3,1.57,1.92,1.76,4.0,0.0,9.0,22.0,0
2025-08-23,Charlton,0,0,20,7,13,18,2,0,Leicester,1,0,6,2,4,9,1,0,D Whitestone,A,D,3.35,3.3,2.17,2.18,1.73,2.11,1.68,1.9,1.76,4.0,3.0,9.0,16.0,0
2025-08-23,Coventry,7,5,19,8,9,15,1,0,QPR,1,0,10,1,4,8,2,0,A Herczeg,H,H,1.55,4.07,5.97,1.95,1.91,1.91,1.84,1.89,1.81,4.0,1.0,9.0,19.0,2
2025-08-29,Leicester,2,1,5,2,1,11,3,0,Birmingham,0,0,11,1,7,16,3,0,J Smith,H,H,2.49,3.2,2.86,2.22,1.72,2.13,1.67,2.06,1.7,6.0,7.0,7.0,5.0,2
2025-08-30,Watford,2,0,10,4,4,14,2,0,Southampton,2,1,12,7,5,12,5,0,F Hallam,D,A,2.91,3.36,2.39,2.03,1.83,1.96,1.79,1.76,1.94,4.0,4.0,12.0,10.0,1
2025-08-30,Sheffield Weds,0,0,9,1,2,14,0,0,Swansea,2,0,17,8,7,10,2,0,A Backhouse,A,D,3.11,3.27,2.29,2.2,1.73,2.1,1.68,1.83,1.86,1.0,4.0,21.0,13.0,0
2025-08-30,Oxford,2,1,14,3,0,13,1,0,Coventry,2,2,15,6,5,10,2,0,R Ricardo,D,A,4.43,3.69,1.77,2.0,1.85,1.94,1.8,1.76,1.98,0.0,7.0,23.0,4.0,1
2025-08-30,Millwall,0,0,21,2,5,10,1,0,Wrexham,2,0,6,3,2,13,3,0,T Kirk,A,D,2.0,3.4,3.72,2.1,1.75,2.04,1.73,1.95,1.8,6.0,1.0,9.0,19.0,0
2025-08-30,Ipswich,2,1,18,5,6,14,2,0,Derby,2,0,10,2,3,14,7,0,L Doughty,D,H,1.53,3.97,6.29,2.1,1.8,2.0,1.75,1.9,1.86,2.0,1.0,19.0,21.0,1
2025-08-30,Portsmouth,1,1,10,2,6,11,1,0,Preston,0,0,13,2,4,7,2,0,T Harrington,H,H,2.2,3.32,3.27,2.14,1.73,2.09,1.69,1.84,1.9,4.0,7.0,14.0,6.0,2
2025-08-30,Blackburn,0,0,12,3,3,9,2,1,Norwich,2,1,15,4,9,7,0,0,B Speedie,A,A,2.37,3.31,2.95,2.1,1.8,1.98,1.77,1.98,1.76,3.0,3.0,17.0,19.0,0
2025-08-30,Stoke,0,0,13,3,5,7,1,0,West Brom,1,1,12,3,5,11,2,0,M Donohue,A,A,2.57,3.26,2.72,2.15,1.73,2.09,1.69,1.86,1.91,9.0,7.0,1.0,5.0,0
2025-08-30,QPR,3,1,13,6,1,16,2,0,Charlton,1,0,13,3,2,7,2,0,A Kitchen,H,H,2.91,3.23,2.44,2.2,1.73,2.13,1.67,2.03,1.75,1.0,4.0,23.0,16.0,2
2025-08-30,Middlesbrough,1,0,15,6,5,5,0,0,Sheffield United,0,0,8,0,9,13,3,0,L Smith,H,D,2.19,3.42,3.19,1.97,1.95,1.91,1.84,1.83,1.91,9.0,0.0,3.0,24.0,2
2025-08-30,Bristol City,4,3,29,5,8,7,1,0,Hull,2,1,20,9,5,8,1,0,G Ward,H,H,1.88,3.47,4.15,2.1,1.8,2.04,1.72,1.85,1.91,5.0,4.0,12.0,16.0,2
2025-09-12,Ipswich,5,1,21,11,3,11,0,0,Sheffield United,0,0,10,2,5,15,2,0,F Hallam,H,H,1.82,3.63,4.23,1.95,1.91,1.89,1.86,1.8,1.97,3.0,0.0,20.0,24.0,2
2025-09-13,Wrexham,1,0,21,8,12,5,1,0,QPR,3,2,15,6,9,10,0,0,B Speedie,A,A,1.91,3.52,3.94,1.98,1.95,1.89,1.85,1.88,1.88,4.0,4.0,16.0,19.0,0
2025-09-13,West Brom,0,0,18,3,11,8,1,0,Derby,1,0,4,1,0,10,2,0,R Ricardo,A,D,1.76,3.4,4.98,2.38,1.62,2.29,1.58,1.98,1.79,10.0,2.0,2.0,21.0,0
2025-09-13,Watford,0,0,14,1,5,12,1,0,Blackburn,1,0,14,5,7,14,2,0,D Whitestone,A,D,2.26,3.27,3.19,2.2,1.71,2.13,1.67,1.92,1.86,5.0,3.0,16.0,21.0,0
2025-09-13,Swansea,2,1,9,2,5,8,1,0,Hull,2,1,15,6,2,5,1,0,D Webb,D,D,1.82,3.55,4.36,2.05,1.8,1.99,1.77,1.8,1.96,7.0,4.0,7.0,21.0,1
2025-09-13,Stoke,1,1,8,3,5,11,3,0,Birmingham,0,0,7,0,3,11,1,0,M Salisbury,H,H,3.05,3.18,2.38,2.3,1.68,2.19,1.63,1.77,1.95,9.0,7.0,3.0,10.0,2
2025-09-13,Preston,2,1,7,2,3,13,1,0,Middlesbrough,2,0,14,3,4,7,3,0,T Kirk,D,H,3.07,3.27,2.31,2.2,1.74,2.08,1.7,1.81,1.91,7.0,12.0,9.0,2.0,1
2025-09-13,Coventry,1,0,28,4,11,12,2,0,Norwich,1,1,4,1,2,7,6,0,G Ward,D,A,1.72,3.93,4.44,1.7,2.2,1.67,2.12,1.91,1.87,8.0,6.0,5.0,13.0,1
2025-09-13,Oxford,2,2,19,2,4,10,1,0,Leicester,2,1,8,5,4,11,2,1,B Toner,D,H,4.13,3.49,1.87,2.15,1.78,2.04,1.73,1.91,1.85,1.0,9.0,22.0,5.0,1
2025-09-13,Charlton,1,1,14,3,3,12,1,1,Millwall,1,0,15,3,4,18,1,0,R Madley,D,H,2.41,3.11,3.08,2.54,1.57,2.36,1.55,2.04,1.76,4.0,6.0,21.0,15.0,1
2025-09-13,Sheffield Weds,0,0,6,0,4,19,2,0,Bristol City,3,3,9,4,1,9,0,0,T Nield,A,A,3.59,3.53,2.0,1.91,1.95,1.86,1.88,1.8,1.98,1.0,8.0,23.0,6.0,0
2025-09-14,Southampton,0,0,9,1,7,16,4,0,Portsmouth,0,0,10,1,5,14,2,0,M Donohue,D,D,1.72,3.84,4.57,1.85,2.06,1.79,1.97,1.9,1.87,5.0,7.0,16.0,10.0,1
