Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2021-08-06,Bournemouth,2,1,7,4,4,11,1,0,West Brom,2,1,15,5,8,13,3,0,D Whitestone,D,D,2.31,3.32,3.14,2.11,1.86,2.06,1.77,1.99,1.87,0.0,0.0,5.0,24.0,1
2021-08-07,Sheffield United,0,0,16,2,8,3,1,0,Birmingham,1,1,9,2,2,12,6,0,T Robinson,A,A,1.82,3.45,4.64,2.31,1.69,2.25,1.64,1.83,2.03,0.0,0.0,22.0,4.0,0
2021-08-07,QPR,1,1,11,4,7,11,0,0,Millwall,1,1,10,3,5,18,3,0,O Langford,D,D,2.1,3.33,3.6,2.33,1.71,2.22,1.66,1.81,2.05,0.0,0.0,20.0,16.0,1
2021-08-07,Preston,1,1,7,4,2,9,2,0,Hull,4,1,16,5,7,6,2,0,G Ward,A,D,2.34,3.27,3.11,2.11,1.87,2.03,1.79,2.01,1.85,0.0,0.0,20.0,15.0,0
2021-08-07,Luton,3,1,12,6,7,18,1,0,Peterboro,0,0,4,1,2,7,5,0,A Woolmer,H,H,2.21,3.42,3.25,2.11,1.9,2.01,1.81,1.9,1.94,0.0,0.0,16.0,19.0,2
2021-08-07,Stoke,3,2,18,6,6,16,0,0,Reading,2,1,11,5,9,7,2,0,M Donohue,H,H,2.09,3.25,3.75,2.51,1.61,2.43,1.56,1.78,2.09,0.0,0.0,20.0,19.0,2
2021-08-07,Cardiff,1,0,10,6,2,7,0,0,Barnsley,1,0,10,3,4,6,0,0,S Martin,D,D,2.28,3.18,3.31,2.43,1.65,2.33,1.61,1.95,1.9,0.0,0.0,13.0,9.0,1
2021-08-07,Bristol City,1,1,11,2,2,10,2,0,Blackpool,1,0,7,1,4,13,0,0,A Davies,D,H,2.22,3.32,3.3,2.25,1.74,2.17,1.7,1.91,1.93,0.0,0.0,13.0,12.0,1
2021-08-07,Blackburn,2,1,21,10,7,11,4,0,Swansea,1,0,7,4,5,10,2,0,D Webb,H,H,2.14,3.29,3.53,2.33,1.68,2.25,1.65,1.84,2.01,0.0,0.0,13.0,20.0,2
2021-08-07,Derby,1,1,11,3,4,17,3,0,Huddersfield,1,1,17,6,6,15,2,0,G Eltringham,D,D,4.64,3.73,1.75,2.17,1.81,2.09,1.74,1.85,1.97,0.0,0.0,15.0,17.0,1
2021-08-08,Fulham,1,1,16,3,4,14,2,0,Middlesbrough,1,0,7,1,2,14,3,0,K Stroud,D,H,1.92,3.45,4.13,2.21,1.82,2.07,1.76,1.91,1.94,0.0,0.0,17.0,18.0,1
