Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2018-08-03,Reading,1,0.0,8.0,5.0,2.0,14.0,3.0,0.0,Derby,2,0.0,11.0,3.0,4.0,16.0,4.0,0.0,R Jones,A,D,0.0,0.0,17.0,7.0,0
2018-08-04,West Brom,1,1.0,20.0,3.0,10.0,9.0,1.0,0.0,Bolton,2,1.0,11.0,4.0,6.0,14.0,0.0,0.0,G Eltringham,A,D,0.0,0.0,22.0,5.0,0
2018-08-04,Sheffield United,1,0.0,12.0,2.0,5.0,6.0,0.0,0.0,Swansea,2,0.0,9.0,4.0,1.0,6.0,0.0,0.0,J Simpson,A,D,0.0,0.0,18.0,21.0,0
2018-08-04,Preston,1,0.0,15.0,3.0,6.0,15.0,0.0,0.0,QPR,0,0.0,8.0,2.0,4.0,13.0,2.0,0.0,D England,H,D,0.0,0.0,16.0,17.0,2
2018-08-04,Millwall,2,2.0,9.0,2.0,6.0,13.0,3.0,0.0,Middlesbrough,2,0.0,12.0,3.0,6.0,6.0,2.0,0.0,K Friend,D,H,0.0,0.0,14.0,13.0,1
2018-08-04,Wigan,3,2.0,21.0,10.0,3.0,12.0,1.0,0.0,Sheffield Weds,2,1.0,8.0,4.0,3.0,12.0,3.0,1.0,T Robinson,H,H,0.0,0.0,20.0,18.0,2
2018-08-04,Bristol City,1,1.0,18.0,6.0,7.0,8.0,0.0,0.0,Nott'm Forest,1,0.0,16.0,6.0,9.0,17.0,4.0,0.0,D Bond,D,H,0.0,0.0,12.0,17.0,1
2018-08-04,Brentford,5,2.0,14.0,10.0,13.0,15.0,0.0,0.0,Rotherham,1,0.0,9.0,5.0,3.0,10.0,2.0,0.0,O Langford,H,H,0.0,0.0,13.0,18.0,2
2018-08-04,Birmingham,2,0.0,16.0,7.0,4.0,15.0,0.0,0.0,Norwich,2,0.0,16.0,7.0,4.0,10.0,3.0,0.0,P Bankes,D,D,0.0,0.0,12.0,17.0,1
2018-08-04,Ipswich,2,1.0,9.0,3.0,3.0,11.0,2.0,0.0,Blackburn,2,2.0,6.0,2.0,0.0,21.0,3.0,0.0,A Davies,D,A,0.0,0.0,16.0,14.0,1
2018-08-05,Leeds,3,2.0,11.0,5.0,3.0,14.0,0.0,0.0,Stoke,1,0.0,9.0,5.0,3.0,8.0,0.0,0.0,S Duncan,H,H,0.0,0.0,17.0,18.0,2
2018-08-06,Hull,1,1.0,11.0,3.0,4.0,12.0,0.0,0.0,Aston Villa,3,1.0,9.0,5.0,2.0,9.0,2.0,0.0,A Madley,A,D,0.0,0.0,17.0,16.0,0
2018-08-07,Middlesbrough,3,3.0,13.0,5.0,7.0,10.0,0.0,0.0,Sheffield United,0,0.0,17.0,4.0,6.0,13.0,3.0,0.0,R Jones,H,H,1.0,0.0,12.0,19.0,2
2018-08-07,Nott'm Forest,1,0.0,20.0,5.0,7.0,12.0,2.0,0.0,West Brom,1,0.0,10.0,2.0,6.0,10.0,1.0,0.0,D England,D,D,1.0,0.0,16.0,19.0,1
2018-08-11,QPR,1,1.0,14.0,6.0,4.0,12.0,1.0,0.0,Sheffield United,2,1.0,8.0,5.0,6.0,11.0,1.0,0.0,S Duncan,A,D,0.0,0.0,20.0,24.0,0
2018-08-11,Swansea,1,1.0,10.0,7.0,4.0,6.0,0.0,0.0,Preston,0,0.0,12.0,5.0,5.0,14.0,1.0,0.0,J Linington,H,H,3.0,3.0,8.0,9.0,2
2018-08-11,Stoke,1,1.0,9.0,3.0,2.0,15.0,2.0,0.0,Brentford,1,0.0,17.0,5.0,6.0,6.0,0.0,0.0,A Davies,D,H,0.0,3.0,23.0,3.0,1
2018-08-11,Sheffield Weds,1,0.0,12.0,6.0,5.0,5.0,3.0,0.0,Hull,1,1.0,16.0,4.0,6.0,7.0,1.0,0.0,S Attwell,D,A,0.0,0.0,20.0,22.0,1
2018-08-11,Rotherham,1,0.0,10.0,4.0,0.0,8.0,2.0,0.0,Ipswich,0,0.0,16.0,3.0,12.0,9.0,0.0,0.0,D Webb,H,D,0.0,1.0,24.0,14.0,2
2018-08-11,Nott'm Forest,1,0.0,12.0,3.0,6.0,15.0,0.0,0.0,Reading,0,0.0,8.0,3.0,4.0,11.0,1.0,0.0,S Martin,H,D,2.0,0.0,12.0,23.0,2
2018-08-11,Blackburn,0,0.0,10.0,4.0,7.0,13.0,0.0,0.0,Millwall,0,0.0,7.0,0.0,1.0,13.0,1.0,0.0,G Ward,D,D,1.0,1.0,14.0,15.0,1
2018-08-11,Middlesbrough,1,1.0,10.0,2.0,3.0,9.0,0.0,0.0,Birmingham,0,0.0,11.0,4.0,9.0,11.0,1.0,1.0,A Madley,H,H,4.0,1.0,4.0,15.0,2
2018-08-11,Derby,1,1.0,12.0,4.0,3.0,10.0,4.0,0.0,Leeds,4,2.0,17.0,7.0,5.0,19.0,2.0,0.0,P Bankes,A,A,3.0,3.0,9.0,6.0,0
2018-08-11,Bolton,2,0.0,7.0,2.0,4.0,20.0,6.0,0.0,Bristol City,2,0.0,16.0,5.0,10.0,6.0,2.0,0.0,J Brooks,D,D,3.0,1.0,8.0,16.0,1
2018-08-11,Aston Villa,3,1.0,17.0,6.0,3.0,17.0,1.0,0.0,Wigan,2,1.0,10.0,3.0,4.0,16.0,4.0,0.0,J Simpson,H,D,3.0,3.0,7.0,8.0,2
2018-08-11,Norwich,3,1.0,20.0,10.0,4.0,12.0,0.0,0.0,West Brom,4,1.0,13.0,7.0,2.0,14.0,0.0,0.0,L Mason,A,D,1.0,1.0,16.0,20.0,0
2018-08-17,Birmingham,0,0.0,17.0,6.0,10.0,13.0,1.0,0.0,Swansea,0,0.0,6.0,0.0,1.0,11.0,1.0,0.0,D England,D,D,1.0,6.0,19.0,4.0,1
2018-08-18,Sheffield United,2,1.0,14.0,5.0,9.0,15.0,2.0,0.0,Norwich,1,1.0,11.0,2.0,4.0,7.0,2.0,0.0,D Bond,H,D,3.0,1.0,12.0,18.0,2
2018-08-18,Wigan,2,2.0,17.0,4.0,8.0,18.0,2.0,0.0,Nott'm Forest,2,1.0,9.0,4.0,14.0,18.0,4.0,0.0,G Eltringham,D,H,3.0,5.0,10.0,6.0,1
2018-08-18,West Brom,7,1.0,15.0,9.0,3.0,14.0,2.0,0.0,QPR,1,1.0,6.0,2.0,5.0,15.0,1.0,0.0,T Harrington,H,D,4.0,0.0,10.0,23.0,2
2018-08-18,Reading,0,0.0,15.0,3.0,5.0,11.0,2.0,0.0,Bolton,1,0.0,9.0,4.0,3.0,15.0,1.0,0.0,J Linington,A,D,0.0,4.0,23.0,9.0,0
2018-08-18,Preston,2,2.0,15.0,6.0,4.0,13.0,2.0,0.0,Stoke,2,1.0,8.0,3.0,2.0,15.0,3.0,0.0,A Madley,D,H,3.0,1.0,11.0,22.0,1
2018-08-18,Leeds,2,0.0,17.0,7.0,7.0,10.0,0.0,0.0,Rotherham,0,0.0,9.0,4.0,1.0,8.0,1.0,0.0,R Jones,H,D,6.0,3.0,5.0,13.0,2
2018-08-18,Ipswich,1,1.0,9.0,1.0,2.0,13.0,1.0,1.0,Aston Villa,1,1.0,10.0,3.0,7.0,15.0,2.0,0.0,T Robinson,D,D,1.0,6.0,20.0,6.0,1
2018-08-18,Hull,0,0.0,10.0,3.0,5.0,12.0,1.0,0.0,Blackburn,1,1.0,16.0,7.0,1.0,13.0,3.0,0.0,D Coote,A,A,1.0,2.0,22.0,15.0,0
2018-08-18,Bristol City,0,0.0,18.0,4.0,4.0,9.0,1.0,0.0,Middlesbrough,2,2.0,13.0,3.0,4.0,11.0,2.0,0.0,O Langford,A,A,2.0,7.0,15.0,3.0,0
2018-08-18,Millwall,2,2.0,12.0,4.0,4.0,15.0,1.0,0.0,Derby,1,0.0,12.0,4.0,10.0,10.0,1.0,0.0,S Martin,H,H,2.0,3.0,15.0,13.0,2
2018-08-19,Brentford,2,1.0,14.0,9.0,9.0,11.0,1.0,0.0,Sheffield Weds,0,0.0,4.0,1.0,0.0,9.0,1.0,0.0,D Webb,H,H,4.0,1.0,11.0,20.0,2
2018-08-21,Derby,2,0.0,10.0,2.0,4.0,10.0,2.0,0.0,Ipswich,0,0.0,11.0,2.0,4.0,10.0,2.0,0.0,S Duncan,H,D,3.0,2.0,14.0,16.0,2
2018-08-21,QPR,0,0.0,14.0,4.0,2.0,16.0,1.0,0.0,Bristol City,3,1.0,11.0,5.0,3.0,10.0,3.0,0.0,P Bankes,A,A,0.0,2.0,24.0,18.0,0
2018-08-21,Rotherham,2,1.0,15.0,4.0,7.0,11.0,1.0,0.0,Hull,3,2.0,14.0,6.0,4.0,10.0,1.0,0.0,J Simpson,A,A,3.0,1.0,16.0,22.0,0
2018-08-21,Swansea,2,1.0,12.0,4.0,2.0,13.0,0.0,0.0,Leeds,2,1.0,8.0,3.0,5.0,17.0,4.0,0.0,A Davies,D,D,7.0,9.0,7.0,2.0,1
2018-08-22,Sheffield Weds,2,1.0,13.0,3.0,7.0,8.0,2.0,0.0,Millwall,1,0.0,12.0,4.0,4.0,10.0,0.0,0.0,A Madley,H,H,1.0,5.0,22.0,12.0,2
2018-08-22,Aston Villa,2,1.0,16.0,7.0,13.0,9.0,3.0,0.0,Brentford,2,1.0,13.0,7.0,6.0,18.0,2.0,0.0,J Moss,D,D,7.0,7.0,6.0,5.0,1
2018-08-22,Blackburn,2,0.0,16.0,4.0,6.0,7.0,1.0,0.0,Reading,2,2.0,8.0,4.0,1.0,9.0,0.0,0.0,O Langford,D,A,5.0,0.0,12.0,23.0,1
2018-08-22,Bolton,1,0.0,8.0,4.0,3.0,11.0,2.0,0.0,Birmingham,0,0.0,18.0,6.0,10.0,15.0,3.0,0.0,L Probert,H,D,7.0,2.0,7.0,19.0,2
2018-08-22,Norwich,2,0.0,12.0,4.0,11.0,13.0,2.0,0.0,Preston,0,0.0,9.0,3.0,4.0,16.0,2.0,0.0,G Ward,H,D,1.0,4.0,22.0,15.0,2
2018-08-22,Stoke,0,0.0,9.0,0.0,4.0,16.0,3.0,1.0,Wigan,3,2.0,10.0,4.0,3.0,16.0,2.0,0.0,J Brooks,A,A,2.0,4.0,20.0,15.0,0
2018-08-24,Middlesbrough,1,0.0,18.0,4.0,10.0,12.0,3.0,0.0,West Brom,0,0.0,13.0,2.0,4.0,11.0,2.0,0.0,J Brooks,H,D,10.0,7.0,2.0,7.0,2
2018-08-25,Aston Villa,1,0.0,21.0,8.0,4.0,9.0,0.0,0.0,Reading,1,0.0,10.0,7.0,9.0,13.0,2.0,0.0,D England,D,D,8.0,1.0,5.0,23.0,1
2018-08-25,Blackburn,1,0.0,2.0,1.0,3.0,12.0,0.0,0.0,Brentford,0,0.0,8.0,3.0,4.0,10.0,1.0,0.0,T Harrington,H,D,6.0,8.0,9.0,5.0,2
2018-08-25,Bolton,0,0.0,10.0,2.0,8.0,6.0,2.0,0.0,Sheffield United,3,2.0,17.0,6.0,10.0,14.0,1.0,0.0,A Madley,A,A,10.0,6.0,3.0,12.0,0
2018-08-25,Derby,2,1.0,15.0,4.0,9.0,17.0,3.0,0.0,Preston,0,0.0,6.0,4.0,4.0,10.0,1.0,0.0,D Webb,H,H,6.0,4.0,12.0,18.0,2
2018-08-25,Norwich,0,0.0,10.0,2.0,10.0,13.0,1.0,0.0,Leeds,3,2.0,12.0,5.0,4.0,16.0,2.0,0.0,S Hooper,A,A,4.0,10.0,15.0,2.0,0
2018-08-25,Nott'm Forest,2,0.0,9.0,3.0,0.0,17.0,4.0,0.0,Birmingham,2,1.0,9.0,3.0,4.0,20.0,0.0,0.0,T Robinson,D,A,6.0,2.0,12.0,20.0,1
2018-08-25,QPR,1,1.0,12.0,3.0,7.0,17.0,2.0,0.0,Wigan,0,0.0,18.0,5.0,3.0,14.0,1.0,0.0,S Martin,H,H,0.0,7.0,24.0,11.0,2
2018-08-25,Sheffield Weds,2,1.0,13.0,3.0,7.0,13.0,2.0,0.0,Ipswich,1,1.0,13.0,3.0,7.0,15.0,2.0,1.0,J Simpson,H,D,4.0,2.0,16.0,23.0,2
2018-08-25,Stoke,2,1.0,11.0,5.0,8.0,8.0,1.0,0.0,Hull,0,0.0,4.0,0.0,5.0,11.0,0.0,1.0,D Bond,H,H,2.0,4.0,24.0,16.0,2
2018-08-25,Swansea,0,0.0,12.0,3.0,4.0,8.0,0.0,0.0,Bristol City,1,1.0,10.0,6.0,5.0,11.0,1.0,0.0,G Ward,A,A,8.0,5.0,9.0,14.0,0
2018-08-26,Rotherham,1,1.0,12.0,3.0,2.0,14.0,1.0,0.0,Millwall,0,0.0,12.0,5.0,9.0,9.0,2.0,0.0,G Eltringham,H,H,3.0,5.0,21.0,15.0,2
