Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2022-08-05,Heerenveen,0,0,11,2,3,5,1,0,Sparta Rotterdam,0,0,13,1,6,8,1,0,D,D,1.93,3.5,3.96,2.04,1.88,1.98,1.82,1.93,1.89,0.0,0.0,10.0,13.0,1
2022-08-06,For Sittard,2,1,13,2,3,15,3,0,Ajax,3,0,15,4,10,12,0,0,A,H,11.93,6.87,1.21,1.4,3.27,1.35,3.11,1.91,1.92,0.0,0.0,9.0,4.0,0
2022-08-06,Cambuur,0,0,27,8,10,9,1,0,Excelsior,2,2,7,4,2,5,2,0,A,A,1.9,3.82,3.71,1.63,2.45,1.58,2.34,1.9,1.92,0.0,0.0,5.0,6.0,0
2022-08-06,PSV Eindhoven,4,3,11,6,3,6,0,0,FC Emmen,1,0,6,2,6,12,1,0,H,H,1.21,6.73,12.84,1.53,2.8,1.47,2.64,2.01,1.83,0.0,0.0,11.0,6.0,2
2022-08-06,Waalwijk,2,2,11,3,3,8,1,0,Utrecht,2,0,11,3,7,10,0,0,D,H,3.67,3.65,1.96,1.85,2.09,1.78,2.03,1.88,1.95,0.0,0.0,15.0,12.0,1
2022-08-07,Groningen,2,2,18,6,7,7,0,0,Volendam,2,1,11,3,4,11,1,0,D,H,1.72,3.9,4.59,1.82,2.17,1.76,2.05,1.92,1.92,0.0,0.0,11.0,15.0,1
2022-08-07,Nijmegen,0,0,11,4,6,9,1,0,Twente,1,0,13,2,9,9,1,0,A,D,3.23,3.48,2.17,1.87,2.05,1.82,1.98,1.96,1.87,0.0,0.0,13.0,14.0,0
2022-08-07,Vitesse,2,1,9,3,5,9,2,0,Feyenoord,5,2,16,8,6,12,1,0,A,A,3.75,3.9,1.87,1.69,2.38,1.64,2.25,1.97,1.86,0.0,0.0,14.0,12.0,0
2022-08-07,AZ Alkmaar,2,0,19,8,7,8,1,0,Go Ahead Eagles,0,0,8,2,3,11,1,0,H,D,1.39,4.85,7.65,1.7,2.38,1.64,2.23,1.89,1.95,0.0,0.0,12.0,13.0,2
2022-08-12,Excelsior,3,2,11,6,1,10,0,0,Vitesse,1,1,22,6,8,18,0,1,H,H,3.5,3.88,1.96,1.63,2.47,1.59,2.35,1.89,1.95,3.0,0.0,4.0,17.0,2
2022-08-13,Go Ahead Eagles,2,1,11,4,6,13,1,1,PSV Eindhoven,5,3,23,11,6,8,0,0,A,A,7.89,5.12,1.36,1.6,2.5,1.56,2.39,1.83,2.0,0.0,3.0,16.0,3.0,0
2022-08-13,FC Emmen,1,0,11,5,3,15,3,0,Waalwijk,1,0,12,2,4,15,1,0,D,D,1.91,3.65,3.86,1.93,2.01,1.85,1.95,1.9,1.93,0.0,1.0,16.0,10.0,1
2022-08-13,Utrecht,0,0,15,6,7,11,3,0,Cambuur,0,0,21,10,4,14,1,0,D,D,1.48,4.66,6.12,1.53,2.79,1.47,2.64,1.99,1.85,1.0,0.0,9.0,16.0,1
2022-08-13,Feyenoord,0,0,19,11,7,8,1,0,Heerenveen,0,0,8,3,2,6,2,0,D,D,1.29,5.79,8.97,1.5,2.79,1.45,2.67,2.04,1.8,3.0,1.0,3.0,11.0,1
2022-08-14,Volendam,1,1,16,6,6,15,2,0,Nijmegen,4,2,13,8,6,13,0,0,A,A,2.55,3.63,2.56,1.7,2.31,1.64,2.24,1.92,1.92,1.0,0.0,11.0,16.0,0
2022-08-14,Ajax,6,3,24,11,7,4,1,0,Groningen,1,1,4,2,3,6,0,0,H,H,1.16,7.97,14.63,1.36,3.52,1.32,3.32,1.95,1.89,3.0,1.0,6.0,11.0,2
2022-08-14,Twente,3,2,19,8,10,13,1,0,For Sittard,0,0,5,1,1,12,3,0,H,H,1.47,4.49,6.46,1.71,2.3,1.64,2.23,2.06,1.79,3.0,0.0,7.0,16.0,2
2022-08-14,Sparta Rotterdam,2,1,8,3,2,12,2,0,AZ Alkmaar,3,1,25,7,6,7,2,0,A,D,4.09,3.56,1.88,2.06,1.89,1.97,1.82,1.95,1.88,1.0,3.0,11.0,7.0,0
2022-08-20,FC Emmen,3,1,13,7,6,8,0,0,Utrecht,2,2,9,4,6,6,0,0,H,A,3.12,3.47,2.23,1.9,2.06,1.83,1.96,1.89,1.95,1.0,2.0,14.0,9.0,2
