Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2023-04-15,America MG,Fluminense,0.0,3.0,A,NA,NA,NA,NA,2.49,3.23,2.87,0,0,1,12,0
2023-04-15,Palmeiras,Cuiaba,2.0,1.0,H,NA,NA,NA,NA,1.35,4.92,8.54,0,0,16,10,2
2023-04-15,Athletico-PR,Goias,2.0,0.0,H,NA,NA,NA,NA,1.62,3.57,6.17,0,0,3,13,2
2023-04-15,Botafogo RJ,Sao Paulo,2.0,1.0,H,NA,NA,NA,NA,2.4,3.05,3.15,0,0,6,16,2
2023-04-15,Bragantino,Bahia,2.0,1.0,H,NA,NA,NA,NA,1.84,3.56,4.21,0,0,7,6,2
2023-04-15,Fortaleza,Internacional,1.0,1.0,D,NA,NA,NA,NA,1.91,3.44,4.07,0,0,11,13,1
2023-04-16,Atletico-MG,Vasco,1.0,2.0,A,NA,NA,NA,NA,1.8,3.5,4.54,0,0,8,15,0
2023-04-16,Corinthians,Cruzeiro,2.0,1.0,H,NA,NA,NA,NA,1.77,3.41,4.96,0,0,9,11,2
2023-04-16,Flamengo RJ,Coritiba,3.0,0.0,H,NA,NA,NA,NA,1.38,4.76,8.13,0,0,11,10,2
2023-04-16,Gremio,Santos,1.0,0.0,H,NA,NA,NA,NA,1.77,3.38,4.99,0,0,11,12,2
2023-04-22,Sao Paulo,America MG,3.0,0.0,H,NA,NA,NA,NA,1.88,3.41,4.29,0,0,16,19,2
2023-04-22,Fluminense,Athletico-PR,2.0,0.0,H,NA,NA,NA,NA,1.5,4.13,6.71,3,3,2,4,2
2023-04-22,Cuiaba,Bragantino,1.0,1.0,D,NA,NA,NA,NA,2.54,3.07,2.93,0,3,16,5,1
2023-04-23,Cruzeiro,Gremio,1.0,0.0,H,NA,NA,NA,NA,2.38,3.13,3.11,0,3,16,9,2
2023-04-23,Internacional,Flamengo RJ,2.0,1.0,H,NA,NA,NA,NA,2.71,3.22,2.63,1,3,13,3,2
2023-04-23,Santos,Atletico-MG,0.0,0.0,D,NA,NA,NA,NA,3.24,3.07,2.35,0,0,17,15,1
2023-04-23,Vasco,Palmeiras,2.0,2.0,D,NA,NA,NA,NA,3.21,3.15,2.32,3,3,9,8,1
2023-04-23,Coritiba,Fortaleza,0.0,3.0,A,NA,NA,NA,NA,2.65,3.12,2.76,0,1,19,13,0
2023-04-23,Goias,Corinthians,3.0,1.0,H,NA,NA,NA,NA,3.01,2.94,2.58,0,3,18,10,2
2023-04-25,Bahia,Botafogo RJ,1.0,2.0,A,NA,NA,NA,NA,2.08,3.24,3.7,0,3,18,9,0
2023-04-29,Santos,America MG,3.0,2.0,H,NA,NA,NA,NA,2.32,3.15,3.2,1,0,17,19,2
2023-04-29,Palmeiras,Corinthians,2.0,1.0,H,NA,NA,NA,NA,1.49,4.01,7.13,4,3,4,15,2
2023-04-29,Bragantino,Cruzeiro,0.0,3.0,A,NA,NA,NA,NA,1.89,3.43,4.18,4,3,6,13,0
2023-04-29,Fortaleza,Fluminense,4.0,2.0,H,NA,NA,NA,NA,2.19,3.29,3.37,4,6,5,2,2
2023-04-29,Coritiba,Sao Paulo,1.0,1.0,D,NA,NA,NA,NA,2.99,3.09,2.47,0,3,19,11,1
2023-04-30,Atletico-MG,Athletico-PR,2.0,1.0,H,NA,NA,NA,NA,1.6,3.7,6.13,1,3,17,13,2
2023-04-30,Flamengo RJ,Botafogo RJ,2.0,3.0,A,NA,NA,NA,NA,1.6,3.89,5.58,3,6,12,5,0
2023-04-30,Cuiaba,Gremio,1.0,2.0,A,NA,NA,NA,NA,2.7,3.09,2.74,1,3,17,14,0
2023-04-30,Internacional,Goias,1.0,0.0,H,NA,NA,NA,NA,1.6,3.87,5.66,4,3,9,14,2
2023-05-02,Vasco,Bahia,0.0,1.0,A,NA,NA,NA,NA,1.75,3.64,4.67,4,0,9,19,0
