Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-01-23,Godoy Cruz,Rosario Central,0,3,A,NA,NA,NA,NA,2.88,2.81,2.81,0,0,13,23,0
2025-01-23,Tigre,Velez Sarsfield,3,0,H,NA,NA,NA,NA,3.63,2.94,2.25,0,0,27,29,2
2025-01-24,Defensa y Justicia,Banfield,0,1,A,NA,NA,NA,NA,1.86,3.28,4.63,0,0,11,6,0
2025-01-24,Lanus,Dep. Riestra,0,2,A,NA,NA,NA,NA,1.72,3.45,5.21,0,0,18,11,0
2025-01-24,Newells Old Boys,Ind. Rivadavia,0,1,A,NA,NA,NA,NA,2.28,2.85,3.67,0,0,18,15,0
2025-01-24,Barracas Central,Racing Club,1,3,A,NA,NA,NA,NA,5.9,3.81,1.59,0,0,9,19,0
2025-01-24,Independiente,Sarmiento Junin,2,1,H,NA,NA,NA,NA,1.53,3.71,7.28,0,0,16,22,2
2025-01-25,Instituto,Gimnasia L.P.,3,0,H,NA,NA,NA,NA,1.94,3.09,4.54,0,0,17,15,2
2025-01-25,Estudiantes L.P.,Union de Santa Fe,3,1,H,NA,NA,NA,NA,1.77,3.23,5.3,0,0,15,22,2
2025-01-25,San Martin S.J.,Atl. Tucuman,0,1,A,NA,NA,NA,NA,2.67,2.88,2.98,0,0,20,12,0
2025-01-25,Belgrano,Huracan,1,1,D,NA,NA,NA,NA,2.14,2.94,3.92,0,0,13,16,1
2025-01-25,San Lorenzo,Talleres Cordoba,1,0,H,NA,NA,NA,NA,3.47,2.75,2.46,0,0,19,20,2
2025-01-26,Platense,River Plate,1,1,D,NA,NA,NA,NA,5.83,3.28,1.71,0,0,18,19,1
2025-01-26,Boca Juniors,Argentinos Jrs,0,0,D,NA,NA,NA,NA,2.16,2.93,3.9,0,0,18,17,1
2025-01-27,Banfield,Newells Old Boys,3,0,H,NA,NA,NA,NA,2.42,2.79,3.44,3,0,9,22,2
2025-01-27,Central Cordoba,Aldosivi,1,0,H,NA,NA,NA,NA,1.86,3.17,4.82,0,0,19,18,2
2025-01-28,Sarmiento Junin,Godoy Cruz,0,0,D,NA,NA,NA,NA,2.34,2.94,3.41,0,0,19,28,1
2025-01-28,Dep. Riestra,San Martin S.J.,0,0,D,NA,NA,NA,NA,2.16,2.81,4.15,3,0,7,23,1
2025-01-28,Rosario Central,Lanus,2,1,H,NA,NA,NA,NA,2.27,2.87,3.68,3,0,4,27,2
2025-01-29,Ind. Rivadavia,Barracas Central,0,0,D,NA,NA,NA,NA,1.85,3.09,5.17,3,0,11,25,1
2025-01-29,Velez Sarsfield,Platense,0,1,A,NA,NA,NA,NA,1.87,3.02,5.18,0,1,29,15,0
2025-01-29,Gimnasia L.P.,San Lorenzo,0,2,A,NA,NA,NA,NA,2.48,2.71,3.46,0,3,28,13,0
2025-01-29,Talleres Cordoba,Independiente,2,3,A,NA,NA,NA,NA,2.22,2.85,3.84,0,3,25,11,0
2025-01-29,Huracan,Estudiantes L.P.,0,0,D,NA,NA,NA,NA,3.17,2.89,2.5,1,3,15,10,1
2025-01-29,Union de Santa Fe,Boca Juniors,1,1,D,NA,NA,NA,NA,2.93,2.87,2.69,0,1,26,18,1
2025-01-30,River Plate,Instituto,1,0,H,NA,NA,NA,NA,1.41,4.52,7.63,1,3,17,9,2
2025-01-30,Aldosivi,Defensa y Justicia,0,5,A,NA,NA,NA,NA,3.03,2.98,2.53,0,0,24,25,0
2025-01-30,Racing Club,Belgrano,4,0,H,NA,NA,NA,NA,1.61,3.85,5.55,3,1,13,18,2
2025-01-31,Argentinos Jrs,Tigre,1,0,H,NA,NA,NA,NA,2.04,3.13,3.96,1,3,18,12,2
2025-01-31,Central Cordoba,Atl. Tucuman,2,0,H,NA,NA,NA,NA,2.44,2.91,3.24,3,3,16,15,2
2025-02-01,Barracas Central,Banfield,1,0,H,NA,NA,NA,NA,3.0,2.75,2.75,1,6,22,3,2
