Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2015-02-13,Velez Sarsfield,Aldosivi,2,0,H,NA,NA,NA,NA,1.74,3.37,4.99,0,0,30,1,2
2015-02-14,Racing Club,Rosario Central,0,1,A,NA,NA,NA,NA,1.81,3.24,4.65,0,0,21,23,0
2015-02-14,Gimnasia L.P.,Defensa y Justicia,0,1,A,NA,NA,NA,NA,2.07,3.11,3.7,0,0,13,11,0
2015-02-14,San Lorenzo,Colon Santa FE,2,0,H,NA,NA,NA,NA,1.7,3.3,5.43,0,0,22,10,2
2015-02-14,Godoy Cruz,San Martin S.J.,1,1,D,NA,NA,NA,NA,2.07,3.13,3.65,0,0,13,22,1
2015-02-14,Newells Old Boys,Independiente,2,3,A,NA,NA,NA,NA,1.98,3.15,3.94,0,0,18,16,0
2015-02-14,Banfield,Temperley,0,1,A,NA,NA,NA,NA,1.63,3.55,5.58,0,0,11,23,0
2015-02-15,Crucero del Norte,Tigre,0,0,D,NA,NA,NA,NA,2.38,2.99,3.11,0,0,14,23,1
2015-02-15,Quilmes,Lanus,0,1,A,NA,NA,NA,NA,3.01,2.9,2.5,0,0,21,18,0
2015-02-15,Union de Santa Fe,Huracan,1,0,H,NA,NA,NA,NA,2.22,2.97,3.46,0,0,23,18,2
2015-02-15,Boca Juniors,Olimpo Bahia Blanca,3,1,H,NA,NA,NA,NA,1.47,3.85,7.28,0,0,17,20,2
2015-02-15,Argentinos Jrs,Atl. Rafaela,2,0,H,NA,NA,NA,NA,2.57,3.04,2.78,0,0,14,16,2
2015-02-16,Arsenal Sarandi,Estudiantes L.P.,0,1,A,NA,NA,NA,NA,3.24,2.91,2.37,0,0,15,17,0
2015-02-16,Sarmiento Junin,River Plate,1,4,A,NA,NA,NA,NA,5.28,3.34,1.7,0,0,19,18,0
2015-02-17,Belgrano,Nueva Chicago,3,1,H,NA,NA,NA,NA,1.66,3.49,5.42,0,0,17,18,2
2015-02-21,Atl. Rafaela,Banfield,1,4,A,NA,NA,NA,NA,2.42,3.07,2.97,0,0,28,20,0
2015-02-21,Huracan,Arsenal Sarandi,1,0,H,NA,NA,NA,NA,2.06,3.05,3.8,0,0,22,20,2
2015-02-21,Estudiantes L.P.,Godoy Cruz,2,1,H,NA,NA,NA,NA,1.61,3.48,5.95,3,1,10,16,2
2015-02-21,Rosario Central,Tigre,2,1,H,NA,NA,NA,NA,1.92,3.1,4.3,3,1,12,18,2
2015-02-21,Olimpo Bahia Blanca,Racing Club,0,0,D,NA,NA,NA,NA,2.55,2.9,2.92,0,0,25,23,1
2015-02-21,Velez Sarsfield,Crucero del Norte,2,1,H,NA,NA,NA,NA,1.58,3.55,6.24,3,1,9,17,2
2015-02-22,River Plate,Quilmes,2,2,D,NA,NA,NA,NA,1.37,4.29,8.7,3,0,4,24,1
2015-02-22,San Martin S.J.,Gimnasia L.P.,1,1,D,NA,NA,NA,NA,2.71,2.89,2.74,1,0,16,24,1
2015-02-22,Aldosivi,Newells Old Boys,0,1,A,NA,NA,NA,NA,2.87,3.03,2.51,0,0,26,24,0
2015-02-22,Independiente,Sarmiento Junin,1,1,D,NA,NA,NA,NA,1.58,3.59,6.18,3,0,10,28,1
2015-02-22,Nueva Chicago,Union de Santa Fe,2,2,D,NA,NA,NA,NA,2.55,2.9,2.95,0,3,26,14,1
2015-02-22,Colon Santa FE,Argentinos Jrs,1,1,D,NA,NA,NA,NA,2.13,2.98,3.7,0,3,28,10,1
2015-02-23,Lanus,Belgrano,0,0,D,NA,NA,NA,NA,1.98,3.13,3.99,3,3,13,9,1
2015-02-23,Temperley,Boca Juniors,0,2,A,NA,NA,NA,NA,5.38,3.53,1.65,3,3,14,11,0
2015-02-24,Defensa y Justicia,San Lorenzo,1,2,A,NA,NA,NA,NA,2.55,2.94,2.92,3,3,13,12,0
2015-02-27,Arsenal Sarandi,Nueva Chicago,1,1,D,NA,NA,NA,NA,1.92,3.13,4.25,0,1,28,24,1
2015-02-28,Godoy Cruz,Huracan,2,1,H,NA,NA,NA,NA,1.8,3.29,4.63,1,3,19,15,2
2015-02-28,Tigre,Olimpo Bahia Blanca,1,0,H,NA,NA,NA,NA,2.03,3.08,3.88,1,1,23,27,2
2015-02-28,Crucero del Norte,Rosario Central,0,1,A,NA,NA,NA,NA,2.96,2.96,2.5,1,6,22,5,0
2015-02-28,Union de Santa Fe,Lanus,1,1,D,NA,NA,NA,NA,2.85,2.96,2.59,4,4,10,11,1
2015-02-28,Quilmes,Independiente,1,2,A,NA,NA,NA,NA,2.91,2.96,2.54,1,4,21,11,0
2015-02-28,San Lorenzo,San Martin S.J.,1,2,A,NA,NA,NA,NA,1.64,3.49,5.62,6,2,4,19,0
2015-03-01,Racing Club,Temperley,2,1,H,NA,NA,NA,NA,1.45,3.98,7.64,1,3,22,19,2
2015-03-01,Gimnasia L.P.,Estudiantes L.P.,1,3,A,NA,NA,NA,NA,2.73,2.86,2.78,1,6,22,6,0
2015-03-01,Boca Juniors,Atl. Rafaela,1,0,H,NA,NA,NA,NA,1.37,4.44,8.48,6,0,4,30,2
2015-03-01,Argentinos Jrs,Defensa y Justicia,1,0,H,NA,NA,NA,NA,2.44,3.0,3.02,4,3,11,18,2
2015-03-02,Banfield,Colon Santa FE,0,0,D,NA,NA,NA,NA,1.74,3.34,4.92,3,1,16,24,1
2015-03-02,Sarmiento Junin,Aldosivi,2,2,D,NA,NA,NA,NA,2.2,2.95,3.56,1,0,27,29,1
2015-03-02,Belgrano,River Plate,1,2,A,NA,NA,NA,NA,3.29,3.06,2.25,4,4,13,11,0
2015-03-03,Newells Old Boys,Velez Sarsfield,0,0,D,NA,NA,NA,NA,2.25,3.03,3.32,3,6,17,7,1
2015-03-06,Huracan,Gimnasia L.P.,1,1,D,NA,NA,NA,NA,3.4,2.93,2.27,3,1,19,28,1
2015-03-07,Atl. Rafaela,Racing Club,1,1,D,NA,NA,NA,NA,2.94,2.99,2.5,0,4,30,16,1
2015-03-07,Nueva Chicago,Godoy Cruz,0,2,A,NA,NA,NA,NA,2.47,2.93,3.05,2,4,21,15,0
