Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2024-08-02,FC Koln,1,0,26,4,6,18,2,0,Hamburg,2,2,9,6,3,7,2,0,A,A,2.36,3.62,2.8,1.61,2.47,1.57,2.37,2.04,1.79,0.0,0.0,4.0,7.0,0
2024-08-03,Hannover,2,2,16,5,5,12,1,0,Regensburg,0,0,10,3,3,17,0,0,H,H,1.65,4.04,4.84,1.76,2.26,1.68,2.16,1.82,2.01,0.0,0.0,7.0,15.0,2
2024-08-03,Hertha,1,0,10,3,1,16,2,0,Paderborn,2,1,11,5,8,7,1,0,A,A,2.0,3.76,3.38,1.57,2.5,1.54,2.43,2.01,1.81,0.0,0.0,8.0,13.0,0
2024-08-03,Karlsruhe,3,1,15,5,7,15,2,0,Nurnberg,2,2,14,5,3,12,4,0,H,A,1.95,3.72,3.61,1.76,2.2,1.69,2.12,1.94,1.87,0.0,0.0,10.0,12.0,2
2024-08-03,Magdeburg,0,0,21,6,11,11,3,0,Elversberg,0,0,9,3,1,8,2,0,D,D,1.98,3.64,3.58,1.7,2.33,1.67,2.18,1.98,1.84,0.0,0.0,11.0,7.0,1
2024-08-03,Schalke 04,5,2,14,8,3,13,2,0,Braunschweig,1,1,10,5,3,11,2,0,H,H,1.75,3.72,4.54,1.88,2.05,1.83,1.96,1.97,1.85,0.0,0.0,13.0,7.0,2
2024-08-04,Darmstadt,0,0,11,6,7,16,2,1,Fortuna Dusseldorf,2,0,11,4,6,7,2,0,A,D,2.75,3.53,2.4,1.77,2.2,1.71,2.12,1.75,2.07,0.0,0.0,8.0,9.0,0
2024-08-04,Greuther Furth,3,1,22,9,6,9,1,0,Preußen Münster,1,1,15,5,5,11,2,0,H,D,1.82,3.76,4.06,1.76,2.22,1.7,2.12,2.04,1.79,0.0,0.0,9.0,11.0,2
2024-08-04,Ulm,1,0,12,3,6,12,2,0,Kaiserslautern,2,0,13,4,7,16,3,0,A,D,2.85,3.42,2.39,1.85,2.1,1.78,2.01,2.1,1.75,0.0,0.0,11.0,10.0,0
2024-08-09,Kaiserslautern,2,1,13,7,8,10,3,0,Greuther Furth,2,2,15,8,5,14,1,0,D,A,2.16,3.69,3.11,1.6,2.6,1.55,2.38,1.89,1.94,3.0,3.0,7.0,2.0,1
2024-08-09,Regensburg,1,1,8,1,5,22,3,0,Ulm,0,0,11,5,4,16,2,0,H,H,2.53,3.38,2.74,2.0,1.98,1.9,1.89,1.84,2.0,0.0,0.0,17.0,14.0,2
2024-08-10,Elversberg,2,0,10,3,4,13,3,0,FC Koln,2,1,23,9,13,13,2,0,D,A,3.31,3.76,2.04,1.67,2.32,1.64,2.23,1.81,2.02,1.0,0.0,10.0,13.0,1
2024-08-10,Fortuna Dusseldorf,0,0,20,6,7,6,2,0,Karlsruhe,0,0,9,2,4,6,1,0,D,D,1.82,3.95,3.88,1.55,2.56,1.52,2.47,1.82,1.99,3.0,3.0,4.0,6.0,1
2024-08-10,Nurnberg,3,0,8,5,1,11,3,1,Schalke 04,1,1,17,5,7,12,4,1,H,A,2.98,3.62,2.24,1.61,2.45,1.57,2.35,1.87,1.94,0.0,3.0,13.0,5.0,2
2024-08-10,Hamburg,1,1,13,3,9,9,2,0,Hertha,1,0,13,4,11,8,2,0,D,H,1.83,4.14,3.69,1.42,3.15,1.39,2.89,1.81,1.99,3.0,0.0,8.0,14.0,1
2024-08-11,Paderborn,3,0,18,5,7,8,1,0,Darmstadt,1,1,15,7,6,11,1,0,H,A,1.87,3.79,3.81,1.65,2.32,1.62,2.26,1.87,1.95,3.0,0.0,9.0,17.0,2
2024-08-11,Preußen Münster,0,0,11,4,7,13,3,0,Hannover,0,0,9,1,6,11,1,0,D,D,3.16,3.68,2.11,1.65,2.38,1.6,2.3,1.98,1.83,0.0,3.0,15.0,8.0,1
