prediction_key,created_at_utc,match_date,competition,home_team,away_team,predicted_result,probability_reasoning,prob_home,prob_draw,prob_away,pred_home_goals,pred_away_goals,pred_home_shots,pred_away_shots,pred_home_sot,pred_away_sot,actual_home_goals,actual_away_goals,actual_result,is_correct,settled_at_utc,correct_counter,total_counter,accuracy_pct_counter
2026-02-21|United States/MLS|atlantautd|cincinnati,2026-02-21T19:28:26+00:00,2026-02-21,United States/MLS,FC Cincinnati,Atlanta Utd,H,"Base ensemble probability from trained MLS model, then adjusted by top-player market-value edge (shift +0.060, attacker-weighted and capped).",0.474543,0.328245,0.197212,1.919,1.294,0.0,0.0,0.0,0.0,2.0,0.0,H,1.0,2026-02-23T18:25:47+00:00,2,4,50.0
2026-02-21|United States/MLS|charlotte|stlouis,2026-02-21T19:28:27+00:00,2026-02-21,United States/MLS,St. Louis City,Charlotte,H,"Base ensemble probability from trained MLS model, then adjusted by top-player market-value edge (shift -0.026, attacker-weighted and capped).",0.575409,0.114663,0.309927,1.863,1.387,0.0,0.0,0.0,0.0,1.0,1.0,D,0.0,2026-02-23T18:25:47+00:00,2,4,50.0
2026-02-22|United States/MLS|lagalaxy|newyork,2026-02-22T23:18:50+00:00,2026-02-22,United States/MLS,LA Galaxy,New York City,A,"Base ensemble probability from trained MLS model, then adjusted by top-player market-value edge (home shift +0.091; market shift -0.100, attacker-weighted and capped).",0.345304,0.300771,0.353925,1.375,1.894,0.0,0.0,0.0,0.0,1.0,1.0,D,0.0,2026-02-23T18:25:47+00:00,2,4,50.0
2026-02-22|United States/MLS|coloradorapids|seattlesounders,2026-02-22T23:18:50+00:00,2026-02-22,United States/MLS,Seattle Sounders,Colorado Rapids,H,"Base ensemble probability from trained MLS model, then adjusted by top-player market-value edge (home shift +0.110; market shift -0.021, attacker-weighted and capped).",0.578407,0.421593,0.0,2.856,1.444,0.0,0.0,0.0,0.0,2.0,0.0,H,1.0,2026-02-23T18:25:47+00:00,2,4,50.0
