prediction_key,created_at_utc,match_date,competition,home_team,away_team,predicted_result,prob_home,prob_draw,prob_away,pred_home_goals,pred_away_goals,pred_home_shots,pred_away_shots,pred_home_sot,pred_away_sot,actual_home_goals,actual_away_goals,actual_result,is_correct,settled_at_utc,correct_counter,total_counter,accuracy_pct_counter
2026-02-20|Portugal/Liga Portugal|estrela|tondela,2026-02-20T20:02:07+00:00,2026-02-20,Portugal/Liga Portugal,Estrela,Tondela,D,0.186364,0.563636,0.25,1.094,1.425,11.688,10.55,4.162,4.338,0.0,2.0,A,0.0,2026-02-22T05:25:55+00:00,1,3,33.3
2026-02-21|Portugal/Liga Portugal|alverca|santaclara,2026-02-20T22:38:16+00:00,2026-02-21,Portugal/Liga Portugal,Alverca,Santa Clara,A,0.127273,0.4,0.472727,0.675,1.637,8.906,16.769,3.487,5.281,1.0,1.0,D,0.0,2026-02-22T05:25:55+00:00,1,3,33.3
2026-02-21|Portugal/Liga Portugal|avs|benfica,2026-02-20T20:02:13+00:00,2026-02-21,Portugal/Liga Portugal,Benfica,AVS,H,0.890909,0.090909,0.018182,5.475,0.306,21.619,9.219,9.894,3.038,3.0,0.0,H,1.0,2026-02-22T05:25:55+00:00,1,3,33.3
